,headings,Description
2952,main electrical switchroom,"electrical switchrooms shall not be located below or beside following wet areas main electrical switchroom g.4.4.3 dimensional layout of electrical switchrooms shall be maintained as shown in figure g.3 for single lv panel, figure g.4 for switchrooms containing two freestanding lv panels or figure g.5 for switchrooms containing wall mounted lv panels. electrical switchroom shall not be used for storage of any equipment, material, etc"
2953,NULL,1) bathrooms 2) toilets 3) kitchens 4) pantries 5) storage tanks 6) air conditioning chillers or other liquid/hazardous materials
2954,NULL,water pipes shall not be installed within or on electrical switchroom walls
2955,main electrical switchroom,"0 0 5 1 , 0 0 5 1 , key 01 lv switchboard/panel 02 capacitor bank 03 smdb (sample) 04 kwh meters 05 non-maintained, minimum 3 h rated, self-contained emergency light 06 light fitting 07 non-combustible door in exterior wall and 90 min fire resistance rated, non- combustible, non-louvered door in interior wall 1,200 figure g.4 layout of main electrical switchroom with two cubicle type switchboards/panels note minimum clear space shown at sides and rear of panel for switchboards with rear access requirements only"
2956,individual consumer premises,"g 19 dubai building code part g incoming utilities 2,400 key 01 main meter 02 mdb 03 capacitor bank 04 pvc/gs trunking 05 kwh meters 06 exhaust fan (for non-air conditioned room) 07 non-maintained, minimum 3 h rated, self-contained emergency light 08 light fitting 09 non-combustible door in exterior wall and 90 min fire resistance rated, non- combustible, non-louvered door in interior wall 0 0 2 , 1 figure g.5 layout of typical electrical service room with one mdb (max. 400 rating) g 20 dubai building code part g incoming utilities g.4.5 tariff metering individual consumer premises g.4.5.1 individual consumer premises include villas, farms, gardens and accommodation blocks. metering cabinet (including main incomer circuit breaker) in such premises shall be installed in compound wall as illustrated in figure g.6"
2957,tariff metering,"g 19 dubai building code part g incoming utilities 2,400 key 01 main meter 02 mdb 03 capacitor bank 04 pvc/gs trunking 05 kwh meters 06 exhaust fan (for non-air conditioned room) 07 non-maintained, minimum 3 h rated, self-contained emergency light 08 light fitting 09 non-combustible door in exterior wall and 90 min fire resistance rated, non- combustible, non-louvered door in interior wall 0 0 2 , 1 figure g.5 layout of typical electrical service room with one mdb (max. 400 rating) g 20 dubai building code part g incoming utilities g.4.5 tariff metering individual consumer premises g.4.5.1 individual consumer premises include villas, farms, gardens and accommodation blocks. metering cabinet (including main incomer circuit breaker) in such premises shall be installed in compound wall as illustrated in figure g.6"
2958,trunking,"g 19 dubai building code part g incoming utilities 2,400 key 01 main meter 02 mdb 03 capacitor bank 04 pvc/gs trunking 05 kwh meters 06 exhaust fan (for non-air conditioned room) 07 non-maintained, minimum 3 h rated, self-contained emergency light 08 light fitting 09 non-combustible door in exterior wall and 90 min fire resistance rated, non- combustible, non-louvered door in interior wall 0 0 2 , 1 figure g.5 layout of typical electrical service room with one mdb (max. 400 rating) g 20 dubai building code part g incoming utilities g.4.5 tariff metering individual consumer premises g.4.5.1 individual consumer premises include villas, farms, gardens and accommodation blocks. metering cabinet (including main incomer circuit breaker) in such premises shall be installed in compound wall as illustrated in figure g.6"
2959,earthing,"g 21 key 01 compound wall 02 weatherproof (ip 55) metering cabinet 03 hinged door with provision for wire sealing and pad locking (hole size min. 10 mm diameter) 04 cable (gland) box 05 transparent meter viewing window (min. 5 mm thickness, size 150 mm  150 mm) 06 protection cover with hinges on top (size 200 mm  200 mm) 07 position of incomer breaker 08 150/100 mm pvc pipe sleeve for service cable 09 conduit/s for earthing conductors (ecc) type of kwh metering dimensions (mm) direct connected metering (up to 125 a) ct. operated metering (5 meter and ct ratio up to 400/5 a) b c 600 800 250 200 e 60 f 60 g h 800 (min.) 1,600 (max.) 1,800 (max.) 800 1,000 300 250 80 80 800 (min.) 1,600 (max.) 1,800 (max.) figure g.6 typical arrangement for tariff metering cabinet recessed within compound wall dubai building code part g incoming utilities multiple consumer premises g.4.5.2 multiple consumer premises include residential/ commercial buildings, industries, large utility complexes and schools. mdbs and smdbs, with associated metering, shall be installed in separate electrical switchrooms. switchrooms shall be located close to entrance boundary line. access shall be available at all times for operation, testing, inspection, maintenance and repair. for all buildings having cooling load of at least 1 mw, or gross floor area of 1,000 m2 or greater, additional electrical submetering (of tariff class accuracy) shall be installed. submetering shall record demand and consumption data for each energy-consuming system in building with load of 100 kw or greater"
2960,multiple consumer premises,"g 21 key 01 compound wall 02 weatherproof (ip 55) metering cabinet 03 hinged door with provision for wire sealing and pad locking (hole size min. 10 mm diameter) 04 cable (gland) box 05 transparent meter viewing window (min. 5 mm thickness, size 150 mm  150 mm) 06 protection cover with hinges on top (size 200 mm  200 mm) 07 position of incomer breaker 08 150/100 mm pvc pipe sleeve for service cable 09 conduit/s for earthing conductors (ecc) type of kwh metering dimensions (mm) direct connected metering (up to 125 a) ct. operated metering (5 meter and ct ratio up to 400/5 a) b c 600 800 250 200 e 60 f 60 g h 800 (min.) 1,600 (max.) 1,800 (max.) 800 1,000 300 250 80 80 800 (min.) 1,600 (max.) 1,800 (max.) figure g.6 typical arrangement for tariff metering cabinet recessed within compound wall dubai building code part g incoming utilities multiple consumer premises g.4.5.2 multiple consumer premises include residential/ commercial buildings, industries, large utility complexes and schools. mdbs and smdbs, with associated metering, shall be installed in separate electrical switchrooms. switchrooms shall be located close to entrance boundary line. access shall be available at all times for operation, testing, inspection, maintenance and repair. for all buildings having cooling load of at least 1 mw, or gross floor area of 1,000 m2 or greater, additional electrical submetering (of tariff class accuracy) shall be installed. submetering shall record demand and consumption data for each energy-consuming system in building with load of 100 kw or greater"
2961,schools,"g 21 key 01 compound wall 02 weatherproof (ip 55) metering cabinet 03 hinged door with provision for wire sealing and pad locking (hole size min. 10 mm diameter) 04 cable (gland) box 05 transparent meter viewing window (min. 5 mm thickness, size 150 mm  150 mm) 06 protection cover with hinges on top (size 200 mm  200 mm) 07 position of incomer breaker 08 150/100 mm pvc pipe sleeve for service cable 09 conduit/s for earthing conductors (ecc) type of kwh metering dimensions (mm) direct connected metering (up to 125 a) ct. operated metering (5 meter and ct ratio up to 400/5 a) b c 600 800 250 200 e 60 f 60 g h 800 (min.) 1,600 (max.) 1,800 (max.) 800 1,000 300 250 80 80 800 (min.) 1,600 (max.) 1,800 (max.) figure g.6 typical arrangement for tariff metering cabinet recessed within compound wall dubai building code part g incoming utilities multiple consumer premises g.4.5.2 multiple consumer premises include residential/ commercial buildings, industries, large utility complexes and schools. mdbs and smdbs, with associated metering, shall be installed in separate electrical switchrooms. switchrooms shall be located close to entrance boundary line. access shall be available at all times for operation, testing, inspection, maintenance and repair. for all buildings having cooling load of at least 1 mw, or gross floor area of 1,000 m2 or greater, additional electrical submetering (of tariff class accuracy) shall be installed. submetering shall record demand and consumption data for each energy-consuming system in building with load of 100 kw or greater"
2962,tariff metering,"g 21 key 01 compound wall 02 weatherproof (ip 55) metering cabinet 03 hinged door with provision for wire sealing and pad locking (hole size min. 10 mm diameter) 04 cable (gland) box 05 transparent meter viewing window (min. 5 mm thickness, size 150 mm  150 mm) 06 protection cover with hinges on top (size 200 mm  200 mm) 07 position of incomer breaker 08 150/100 mm pvc pipe sleeve for service cable 09 conduit/s for earthing conductors (ecc) type of kwh metering dimensions (mm) direct connected metering (up to 125 a) ct. operated metering (5 meter and ct ratio up to 400/5 a) b c 600 800 250 200 e 60 f 60 g h 800 (min.) 1,600 (max.) 1,800 (max.) 800 1,000 300 250 80 80 800 (min.) 1,600 (max.) 1,800 (max.) figure g.6 typical arrangement for tariff metering cabinet recessed within compound wall dubai building code part g incoming utilities multiple consumer premises g.4.5.2 multiple consumer premises include residential/ commercial buildings, industries, large utility complexes and schools. mdbs and smdbs, with associated metering, shall be installed in separate electrical switchrooms. switchrooms shall be located close to entrance boundary line. access shall be available at all times for operation, testing, inspection, maintenance and repair. for all buildings having cooling load of at least 1 mw, or gross floor area of 1,000 m2 or greater, additional electrical submetering (of tariff class accuracy) shall be installed. submetering shall record demand and consumption data for each energy-consuming system in building with load of 100 kw or greater"
2963,tariff metering,"all tariff metering shall be smart meters, normally provided by dewa and restricted to one for each consumer installation, unless otherwise approved/ specified by dewa"
2964,metering cabinet arrangement,"g.4.5.3 metering cabinet arrangement minimum space provided for installation of kwh meter shall be 300 mm wide and 500 mm high (see figure g.7). minimum space of 1,200 mm shall be provided in front of kwh meter cabinet/meters"
2965,NULL,"general arrangement and dimensional layout of metering cabinets and array of meters installed in electrical switchrooms and enclosures, along with associated wiring, shall be submitted to dewa for approval. g 22 minimum 2 clearance shall be maintained between electrical and water service"
2966,NULL,following typical arrangements of kwh metering cabinets/kwh meters given for guidance a) multi-tenant arrangements (see figure g.7) b) single-tenant arrangements (see figure g.8)
2967,trunking,"key 01 mdb/smdb 02 pvc/gs trunking 03 non-combustible type board/plate for fixing kwh meters 04 kwh meter 05 supply cables note 1 layout indicates minimum space, maximum number of rows and arrangement of kwh meters"
2968,earthing,"note 2 earthing details, outgoing circuits and conduits terminations not indicated"
2969,NULL,"dimensions (mm) 1,800 b 600 (min) c 500 100 e 300 figure g.7 typical multi-tenant metering arrangement dubai building code part g incoming utilities key ct operated, kwh metering compartment b transparent viewing window for meter (size 1.25  1.25 m) c protection cover with hinges on top (size 1.5  1.5 m) three sealable type vt fuse carriers in sealable enclosure for data concentrator e kwh meter f pad locking arrangement (hole size 10 mm diameter) g ct shorting terminal block in sealable enclosure (rs1 and rs2/ys1 and ys2/bs1 and bs2) 01 load side busbars (400 mm) 02 metering 03 main incomer and cts 04 main cable terminal 05 20 mm conduit from kwh metering compartment to cable trench for ct operated meters and data concentrators, vt fuses shall be sealed type, located in sealable enclosure"
2970,NULL,"to facilitate meter reading, transparent viewing window shall be provided in all metering cabinets, and in doors of enclosures housing meters with associated distribution switchgear (see figure g.8, item b). material used for viewing window shall be not less than 5 mm thick. window shall have hinged type protection cover"
2971,NULL,all metering cabinets and enclosures shall be constructed from non-combustible material
2972,NULL,"when meters installed in electrical switchrooms, fire-resistant/non-combustible base plates shall be provided. single core pvc or xlpe insulated and pvc sheathed cables conforming to bs 6004 shall be used for connection to kwh meters"
2973,trunking,"all metering cabinets/compartments shall be provided with padlocking and wire sealing facilities on their external door/cover, which shall normally be hinged (see figure g.9). generally, all apparatus, circuit breakers, isolators, busbars, removable lid section of busbar - trunking, etc., installed on supply side of any dewas metering shall have provision for sealing by dewa"
2974,point of supply,b c e g f 05 figure g.8 arrangement of metering in main lv panel g 23 dubai building code part g incoming utilities ct metering requirements g.4.5.4 metering by means of current transformers (cts) shall be installed where circuit breaker rating at point of supply 160 and above. note 1 dewa provides smart kwh meter(s) and associated cts for all tariff metering. in some circumstances consumer might be permitted to provide kwh meter and cts as private check meters for energy monitoring purposes
2975,tariff metering,b c e g f 05 figure g.8 arrangement of metering in main lv panel g 23 dubai building code part g incoming utilities ct metering requirements g.4.5.4 metering by means of current transformers (cts) shall be installed where circuit breaker rating at point of supply 160 and above. note 1 dewa provides smart kwh meter(s) and associated cts for all tariff metering. in some circumstances consumer might be permitted to provide kwh meter and cts as private check meters for energy monitoring purposes
2976,NULL,note 2 basic data schedule for smart metering shown in table g.1 and table g.2
2977,NULL,meter and cts shown in figure g.8 shall be tested and calibrated by dewa prior to installation onsite. cts shall be located on busbars immediately after circuit breaker/isolator at which complete installation to be metered
2978,NULL,"each ct shall have following markings (illustrated in figure g.10) 1) manufacturers name and/or trademark 2) 3) rated primary current and secondary current rated frequency and primary maximum voltage 4) accuracy class 5) 6) rated output (va) terminal (secondary winding) identification (s1, s2) and 7) power flow direction (p1, p2)"
2979,NULL,"figure g.9 typical metering cabinet padlocking and wire tag metering section/compartment in all mdbs and smdbs, if and when incorporated within, shall be segregated from other sections/compartments"
2980,NULL,"removable links of adequate length shall be provided in busbar of each phase to enable easy maintenance and replacement of cts. for consumer premises with groups of villas, space/provision shall be made for installing dewa feeder pillars. location of such feeder pillars shall be finalized during estimation taking into account cable route, cable route length, road crossing, etc"
2981,NULL,three cts shall be provided for each metering
2982,NULL,"following ct transformation ratios shall be used a) 200/5 b) 300/5 c) 400/5 d) 800/5 e) 1,600/5 f) 2,400/5"
2983,NULL,figure g.10 typical ct nameplate g 24 dubai building code part g incoming utilities no
2984,NULL,"description type of meters reference voltages and frequency accuracy class meter application system rating specification static type kwh meter see g.4.2 direct metering on lv system ct metering on lv system 120 >125 class 1 0.5s register type of register number of digits height of numerals lcd screen size service conditions lcd 8 (minimum) 8 mm (minimum) 80 mm  20 mm or approved by dewa operating temperature range (minimum) relative humidity transport and storage temperature range (minimum) 700 c 100% 850 c type of communication meter communication ports modular type with detachable communication module (to choose wired or wireless communication system) optical. m-bus, rs485, etc"
2985,NULL,1 2 3 3.1 3.2 4 4.1 4.2 4.3 4.4 5 5.1 5.2 5.3 6 7 no
2986,NULL,"description 1 2 3 4 5 6 7 8 9 rated secondary current maximum primary voltage rated frequency rated primary current (only one applicable) rated burden number of phases accuracy class ct application ct metering on lv system medium of installation size of busbars (primary) rated primary current a) 200 a, 300 b) 400 c) 600 a, 800 d) 1,200 a, 1,600 e) 2,400 table g.2 current transformers (ct) specifications specification 5 600 v 50 hz 200 a, 300 a, 400 a, 800 a, 1,600 or 2,400 5 va 1 air busbar size 20 mm  10 mm 30 mm  10 mm 50 mm  10 mm or 2 number 30 mm  10 mm 2 number 60 mm  10 mm 2 number 80 mm  10 mm table g.1 electricity meter specifications g 25 dubai building code part g incoming utilities cables for connection between ceiling rose and luminaire for pendant type light fittings and for enclosed luminaires shall be heat resistant silicone rubber insulated with stranded copper conductor conforming to bs en 50525"
2987,NULL,"cables used for control, relays, instrument panels, etc. shall conform to bs 6231. single core cables armoured with steel wire or tape shall not be used for ac circuits"
2988,NULL,g.4.7.2 minimum size of conductors size of conductor used for lighting circuits shall be not less than 2.5 mm2
2989,ambient design conditions,"g.4.6 ambient design conditions g.4.7 cables and conductors all equipment, apparatus, materials and accessories used in electrical installations shall be suitable for purpose intended and capable of operating with satisfactory performance in climatic conditions described in table g.3"
2990,cables and conductors,"g.4.6 ambient design conditions g.4.7 cables and conductors all equipment, apparatus, materials and accessories used in electrical installations shall be suitable for purpose intended and capable of operating with satisfactory performance in climatic conditions described in table g.3"
2991,performance,"g.4.6 ambient design conditions g.4.7 cables and conductors all equipment, apparatus, materials and accessories used in electrical installations shall be suitable for purpose intended and capable of operating with satisfactory performance in climatic conditions described in table g.3"
2992,ambient design conditions,"parameter altitude condition sea level (coastal) general g.4.7.1 for general purposes and in normal situations, lsf/xlpe insulated, stranded copper conductor cables shall be used for all fixed wiring installations. cables shall be appropriate to building type and conform to respective standard from following list maximum outdoor ambient temperature (shade) minimum ambient air temperature maximum ambient air temperature maximum average temperature over 24 h maximum average over temperature one year 48 c 2.8 c 48 c 37.8 c 26.9 c relative humidity thunderstorms per year earthquake loading wind speed ground temperature soil thermal resistivity 100% (max.) occasional 0.07 g 45 m/s at 10 height 40 c 2.0 c/m/w at depth of 0.9 note heavy condensation and sandstorms also prevail table g.3 ambient design conditions for dubai g 26 a) bs 5467 b) bs 6004 c) bs 6724 d) bs 7211 e) bs 7629-1 f) bs 7846 g) bs 7889 h) bs 8436. in certain circumstances, pvc insulated cabling may be used for general purpose installations, subject to approval by dewa"
2993,NULL,"in flammable/explosive situations, cables shall be selected in accordance with requirements of nfpa 70, as required by ch. 10 of uae flsc ref. g.1"
2994,NULL,"flexible cables and cords for use in electrical installations shall be lsf insulated and sheathed, stranded copper conductors conforming to bs 7211. dubai building code part g incoming utilities current rating, size and voltage drop g.4.7.3 all cables shall be sized to continuously carry normal current of individual circuits based on various laying conditions as applicable and maximum ambient temperature (see bs 7769)"
2995,NULL,"cable sizes for general purpose applications should typically be not less than those given in table g.4, table g.5 and table g.6"
2996,NULL,"note following process can be used to determine which cable size to select from table g.4, table g.5 and table g.6"
2997,armoured cables,"max. rating of mcb/mccb (a) max. load current/ demand (a) size of one 3/4 c lsf/swa/ lsf cable installed in normal situations (mm2) max. rating of mcb/mccb (a) max. load current/ demand (a) size of one cable installed in normal situations (mm2) max. rating of mcb/mccb (a) max. load current/ demand (a) size of cables in concealed conduits 2  1c, single-phase (mm2) 3/4  1c, three-phase (mm2) 2.5 4 6 6 10 16 25 35    2.5 4 6 10 16 25 25 50 70 95 10/15 10/15 20 25 30 40 50 60 80 100 125 20 25 30 40 50 60 80 100 125 120 150/160 150/160 table g.4 typical recommended cable sizes  single core lsf insulated, non-armoured cables, stranded copper conductors 2.5 4 6 10 16 25 35 50 70 65 120 150 185 240 300 400 10/15 10/15 20 30 40 50 60 80 100 125 160 180 200 250 300 350 400 20 30 40 50 60 80 100 125 160 180 200 250 300 350 400 10 16 25 35 50 70 95 120 150 185 240 300 50 60 80 100 125 160 200 225 250 300 350 400 50 60 80 100 125 160 200 225 250 300 350 400 table g.6 typical recommended cable sizes  multicore armoured xlpe insulated cables, copper conductors g 27 table g.5 typical recommended cable sizes  multicore armoured lsf insulated cables, copper conductors dubai building code part g incoming utilities red (r) yellow (y) blue (b) as applicable g.4.9 areas wiring installations in hazardous cable colour identification g.4.7.4 colour identification of insulated cable cores of unarmoured, armoured and flexible cables and of sleeve, band or disc of bare conductors shall be as indicated in table g.7 and table g.8"
2998,connections,"function colour identification green and yellow black red or earth continuity conductor (ecc) neutral conductor in single-phase and three-phase circuits (n) phase conductor in single-phase circuits phase conductor in three-phase circuits r-phase y-phase b-phase red yellow blue table g.7 non-flexible cables and bare conductor colour identifiers function live neutral earth colour identification brown blue green and yellow table g.8 flexible cables and cores colour identifiers g 28 g.4.8 temperatures wiring installations exposed to high any part of wiring installation (such as individual circuit cables, final connections to equipment, appliances and light fittings) shall be rated to maintain its performance at temperatures likely to be encountered. heat-resistant sleeves shall be provided for individual cores and/or heat-resistant cables"
2999,earth continuity conductor (ecc),"function colour identification green and yellow black red or earth continuity conductor (ecc) neutral conductor in single-phase and three-phase circuits (n) phase conductor in single-phase circuits phase conductor in three-phase circuits r-phase y-phase b-phase red yellow blue table g.7 non-flexible cables and bare conductor colour identifiers function live neutral earth colour identification brown blue green and yellow table g.8 flexible cables and cores colour identifiers g 28 g.4.8 temperatures wiring installations exposed to high any part of wiring installation (such as individual circuit cables, final connections to equipment, appliances and light fittings) shall be rated to maintain its performance at temperatures likely to be encountered. heat-resistant sleeves shall be provided for individual cores and/or heat-resistant cables"
3000,performance,"function colour identification green and yellow black red or earth continuity conductor (ecc) neutral conductor in single-phase and three-phase circuits (n) phase conductor in single-phase circuits phase conductor in three-phase circuits r-phase y-phase b-phase red yellow blue table g.7 non-flexible cables and bare conductor colour identifiers function live neutral earth colour identification brown blue green and yellow table g.8 flexible cables and cores colour identifiers g 28 g.4.8 temperatures wiring installations exposed to high any part of wiring installation (such as individual circuit cables, final connections to equipment, appliances and light fittings) shall be rated to maintain its performance at temperatures likely to be encountered. heat-resistant sleeves shall be provided for individual cores and/or heat-resistant cables"
3001,wiring accessories,"all light fittings, wiring accessories and other electrical equipment in potentially hazardous atmospheres shall be selected in accordance with bs en 60079"
3002,load balancing,"g.4.10 load balancing in all cases where three-phase supply provided to premises, various categories of connected load (such as lighting, socket outlets, water heaters, single-phase air conditioning units, equipment, apparatus, etc.) shall be distributed and connected on red, yellow and blue phases as evenly as possible, to maintain load balance between phases at all distribution levels"
3003,conduits and fittings,"g.4.11 wiring accessories g.4.11.1 conduits and fittings high impact rigid pvc conduits and fittings shall conform to all relevant parts of bs 4607, bs en 60423 and bs en 61386. they shall meet following requirements a) be suitable for use at maximum ambient temperature of 48 c b) not soften or suffer structural degradation at temperature of 70 c c) be non-hygroscopic d) be heat-resistant"
3004,wiring accessories,"g.4.11 wiring accessories g.4.11.1 conduits and fittings high impact rigid pvc conduits and fittings shall conform to all relevant parts of bs 4607, bs en 60423 and bs en 61386. they shall meet following requirements a) be suitable for use at maximum ambient temperature of 48 c b) not soften or suffer structural degradation at temperature of 70 c c) be non-hygroscopic d) be heat-resistant"
3005,NULL,pvc conduits shall be provided with copper/brass terminals
3006,conduits and fittings,"steel conduits and fittings shall conform to relevant specifications in bs en 60423 and bs en 61386. they shall be hot-dip galvanized to class 4 protection, both inside and outside. flexible steel conduits and fittings shall conform to bs en 61386. conduit systems shall be designed and installed to exclude moisture, dust and dirt. small drainage holes shall be provided at lowest part of system to avoid accumulation of condensation"
3007,NULL,"dubai building code part g incoming utilities all fittings, bends, tees, elbows, couplers, etc. and supports shall be of factory-made sections and of same quality as trays. cables shall be fastened securely by purpose-made clips, cleats or saddles"
3008,distribution boards,g.4.12 gear assemblies low-voltage switchgear and control g.4.12.1 main and sub main distribution boards mdbs and smdbs installed within consumer installations shall be factory-built assemblies and conform to relevant parts of bs en 61439/ iec 61439
3009,main and sub main distribution boards,g.4.12 gear assemblies low-voltage switchgear and control g.4.12.1 main and sub main distribution boards mdbs and smdbs installed within consumer installations shall be factory-built assemblies and conform to relevant parts of bs en 61439/ iec 61439
3010,NULL,"assemblies shall be constructed of materials capable of withstanding following when encountered in normal service a) mechanical stress b) electrical stress c) thermal stress d) effects of humidity. apparatus forming part of assembly shall have clearances, creepage distances and isolating distances conforming to bs en 61439/iec 61439. these distances shall be maintained during normal and relevant service conditions"
3011,NULL,"phase busbar, neutral bar and earth bar shall be copper. they shall be colour identified as indicated in table g.7 and table g.8. neutral bar shall be of same cross-section as phase busbar"
3012,NULL,"circuit breakers, busbars, etc. shall be designed and rated to suit individual applications at site conditions. table g.9 may be used to indicate preferred details and parameters of equipment and components in mdbs/smdbs for individual application"
3013,trunking,"trunking g.4.11.2 where applicable, surface and underfloor (duct) trunking and their fittings shall conform to bs en 50085. trunking and fittings shall be constructed of steel, hot-dip galvanized both inside and outside, or non-combustible insulating material with removable covers. installation of trunking shall be carried out strictly in accordance with manufacturers guidelines"
3014,cable trays,"cable trays and supports g.4.11.3 cable trays, accessories and supports shall be either hot-dip galvanized or pvc-coated steel. cable trays shall be either perforated type or ladder type. they shall have sufficient strength and rigidity to support cables installed, and be provided with upstands of dimensions sufficient to carry cables on both sides"
3015,cable trays and supports,"cable trays and supports g.4.11.3 cable trays, accessories and supports shall be either hot-dip galvanized or pvc-coated steel. cable trays shall be either perforated type or ladder type. they shall have sufficient strength and rigidity to support cables installed, and be provided with upstands of dimensions sufficient to carry cables on both sides"
3016,strength,"cable trays and supports g.4.11.3 cable trays, accessories and supports shall be either hot-dip galvanized or pvc-coated steel. cable trays shall be either perforated type or ladder type. they shall have sufficient strength and rigidity to support cables installed, and be provided with upstands of dimensions sufficient to carry cables on both sides"
3017,connections,"g 29 dubai building code part g incoming utilities parameter i. reference standards ii. rating of incoming supply breaker/isolator + (+on-load) iii. construction 1. mounting 2. degree of protection of enclosure for installation 200 300 400 800 1600 2,500 breaker isolator wall floor pedestal ................................... indoor-ip41/42 outdoor-ip54/55 ................................... specification bs en 61439/iec 61439 parameter 5. kwh meter reading provision 6. cable tray 7. ventilation specification glass window gasketted top bottom top and bottom natural via louvers mechanical exhaust/supply ................................... 8. sealing/pad locking provision iv. internal layout/arrangement and fault rating 1. segregation of live parts incoming supply terminals/lugs barrier shroud firmly secured busbar, tap-out connections and terminals firmly secured (separate and independent of each other) separately mounted and removable by tool separately mounted and removable by tool 3. painting/finish (internal/external) stove enamelled neutral and earth busbars and terminals epoxy polyester galvanized ................................... hinged bolted panel lock gasketted+ 2. arrangement of busbars and tap-out connections to outgoing circuit breakers 3. rating/size of phase and neural busbars and terminals (at max. 50 c ambient) 4. front cover (+neoprene) table g.9 specification of mdbs/smdbs g 30 separately mounted with adequate working clearances/spacing from incoming supply terminals/lugs rigid, firmly secured, supported, direct and as short as possible adequately sized min. number of bolted joints rated for max. 70 c internal ambient, consistent with rated incoming supply breaker/isolator tinned electrolytic copper dubai building code part g incoming utilities parameter specification 4. rating of main incomer and busbars dewas ................................... parameter v. identification specification - min. fault rating 5. min. and max. rating of outgoing circuit breakers - min. fault rating 6. provision of min. working clearance/space for incoming supply cable terminations 200 a/300 a/400 incomers (mm) 800 a/1,600 a/2,500 incomer (mm) outgoing circuit cables 7. provision of supports/facility for dressing/ clamping outgoing circuit cables 40 ka ................................... ................................... 35 ka ................................... 200 300 400 250 350 450 750 with/without cable box adequate channels trunking ................................... max. height 2 (from ffl) 9. maintenance access/replacement convenience for switchgear components breaker cts 4 kwh meter gland plate 10. provision for termination of cu./xlpe/ awa(s.c.) non-ferrous glands plate table g.9 specification of mdbs/smdbs (continued) g 31 8. operational access/convenience for switchgear incoming supply circuit breaker/isolator outgoing circuit breaker from outside of hinged door/bolted cover restricted/lockable 3. termination of eccs vii. metering 1. rating of incoming supply and outgoing circuit breakers (for specified rating  refer approved single line thermal discrimination fault diagram no. ................................) 2. type of circuit breakers incoming outgoing 3. terminal ferrules for control/auxiliary circuits vi. earthing 1. rating/size of earth busbar and terminals 2. earthing of conductive parts acb mccb f/s mccb f/s c/l mccb kwh meter indicating instruments other................................... compliance with g.4.19..................... adequate, consistent with min. fault rating specified under iv.4 and iv.5 adequate no. and size to terminate main and circuits eccs enclosure hinged door cable glands copper lugs compliance with g.4.5................... volt meter with selector switch power factor (pf) meter 1. standard indicating instruments ammeter current transformers indicating lamps 2. kwh meters/cts tested and calibrated in dewa dubai building code part g incoming utilities parameter specification 3. wiring/connections of ct meter load side of incoming supply breaker following shall be provided in mdbs with rating of 200 or more, and may be provided in smdbs if appropriate 4. protection of ct meter wiring (allow six spare fuse cartridges in mdb) 5. mounting height from ffl current coil voltage coil sealed type fuse heat resistant/high voltage grade max. 2 m. min. 0.8 m. 6. mounting (if door/cover mounted) hinged door mounted a) voltmeter (with r-y-b off selector switch) b) ammeter (with cts as applicable) c) maximum demand indicator/recorder d) pf meter e) indicating lamps f) associated protective devices"
