,Sentences
6029,A means of emergency switching shall be provided on  the supply to all equipment from which it might be  necessary to disconnect all live conductors in order to  remove a hazard.
6030,"Equipment shall be located, and notices displayed,  in such a way as to facilitate immediate emergency  disconnection of the electricity supply."
6031,Locking  arrangements shall be provided that can be removed  in an emergency (e.g.
6032,panic bar or keys available in a  break-out box).
6033,"Where a proposal for more than one feeder means  that MDBs are installed at different locations, the  emergency power out facility shall be provided at a  single location."
6034,"It might be necessary to use a reduced LV supply  for portable tools where there is a high exposure to  potential damage, or where persons are required to  operate such equipment in confined spaces or other  hazardous circumstances."
6035,A reduced LV shall be used  where deemed necessary.
6036,Dubai Building Code    Part G: Incoming utilities     Temporary electrical systems for entertainment and  similar purposes shall be provided in accordance with  BS 7909.
6037,"Earth leakage protection    G.4.21.3  In addition to the overcurrent and short-circuit  protection, every circuit shall be protected for earth  leakage."
6038,All of the following shall be protected with an  ELCB/RCCB of rated operating current 30 mA:    a) final sub-circuits connected to 13 A switched    socket outlets;    b) portable tools;    c) equipment.
6039,"A 100 mA ELCB/RCCB shall be provided for the  protection of other lighting circuits,  fixed equipment, etc."
6040,unless otherwise specified.
6041,"The consumer shall check and test the earthing  systems, operation of ELCBs/RCCBs, wiring  installation, etc."
6042,"regularly to verify that the installation  is safe, and shall take remedial action if necessary."
6043,G 68    Dubai Building Code    Part G: Incoming utilities     G.5    Electric vehicle (EV) charging points    G.5.1    Charging modes    G.5.1.1  IEC 61851 specifies four different modes of conductive charging for electric vehicles.
6044,The four modes are summarized in G.5.1.2 to G.5.1.5.
6045,General    Mode 1 charging    G.5.1.2  Mode 1 charging is illustrated in Figure G.31.
6046,"Alternating current (AC) is delivered  to the on-board charger of the EV, via a standard socket outlet and a charging  cable without communication function."
6047,An RCD for shock protection is provided on  the supply side of the fixed electrical installation.
6048,Mode 1 is not suitable for longer  periods of charging at home or the work place.
6049,Mode 2 charging    G.5.1.3  Mode 2 charging is illustrated in Figure G.32.
6050,The charging cable assembly  incorporates an in-cable control box.
6051,"The fixed electrical installation for the charging  facility is similar to that of Mode 1 except that the final circuit, protective device and  socket shall be of a suitable rating for the connected load, and shall not exceed 32 A,  in order to cater for the higher level of charging current."
6052,Mode 1 is not permitted due to the lack of safety measures associated with this  mode of charging.
6053,Figure G.31 Electric vehicle Mode 1 charging    Figure G.32 Electric vehicle Mode 2 charging    Key  01: Battery  02: EV inlet  03: Connector  04: On-board charger  05: Plug  06: Socket outlet    G 69    Key  01: Battery  02: EV inlet  03: Connector  04: On-board charger  05: Plug  06: Socket outlet  07: In-cable control box    Dubai Building Code    Part G: Incoming utilities     Mode 3 charging    G.5.1.4  Mode 3 charging is illustrated in Figure G.33.
6054,It employs dedicated EV service  equipment (EVSE) and a charging cable assembly.
6055,The control pilot cable of the  charging cable assembly allows communication between the EVSE and the on-board  charger.
6056,Communication functions include:    Mode 4 charging    G.5.1.5  Mode 4 charging is illustrated in Figure G.34.
6057,"It employs an off-board charger to  deliver direct current to the battery, bypassing the on-board charger."
6058,This mode  can charge an EV in a relatively short time because a higher electrical power is used  (ranging from 20 kW to 120 kW).
6059,a) verification of connection with the EV;    b) continuous checking of protective earth conductor integrity;    c) energization and de-energization of the supply;    d) selection of the charging rate.
6060,"06    05    NOTE: Maximum charging capacity of a DEWA charger shall be limited to 25kW or  below per charging outlet, subject to available load capacity."
6061,"Figure G.33 Electric vehicle Mode 3 charging    Figure G.34 Electric vehicle Mode 4 charging    Key  01: Battery  02: EV inlet  03: Connector  04: On-board charger  05: Plug  06: Socket outlet  07: AC charger facility    G 70    Key  01: Battery  02: EV inlet  03: Connector  04: DC quick charging facility    Dubai Building Code    Part G: Incoming utilities     G.5.2    EVSE design requirements    2) Cables supplying EVSE shall be mechanically    d) The following requirements shall be met for    For the permitted charging modes described in G.5.1.3  to G.5.1.5, the following requirements shall be met."
6062,a) The following general requirements shall be met.
6063,1) Installation of a private charging outlet shall be    subject to prior DEWA approval.
6064,2) The design of EVSE shall enable maintenance  and service work to be carried out safely.
6065,"3) EVSE shall be installed with sufficient space    around it, in accordance with the manufacturer’s  instructions, to allow for ventilation and cooling  of the equipment."
6066,4) EVSE shall be installed in such a way as to    minimize the distance between the EV inlet and  the charging equipment.
6067,"5) EVSE shall not be installed in locations where  a potentially explosive atmosphere exists, such  as petrol stations."
6068,"Where such locations require  EVSE, it shall be installed outside the hazardous  zone."
6069,b) The following requirements shall be met for circuits.
6070,1) EVSE shall be supplied by a separate and a    dedicated radial circuit.
6071,"The radial circuit shall  supply no other loads, except for ventilation  equipment required by the EVSE."
6072,"NOTE: More than one EVSE can be fed from the  same supply circuit, provided that the combined  current demand of the equipment does not  exceed the rating of the supply circuit."
6073,"G 71    protected by means of metal sheath/armour, or  installed inside a conduit made from either:    i) rigid steel;    ii) plastic; or    iii) PVC."
6074,"3) Each final circuit shall be sized to carry the rated  current of the EVSE, with limited voltage drop  as required."
6075,"4) Where the final circuit supplies more than one  EVSE, there shall be no diversity."
6076,"A diversity  factor (usually greater than one) may be used  for a dedicated distribution circuit supplying  multiple EVSE charging points, provided that  load control is available."
6077,isolation and switching.
6078,"1) A means of isolating the supply to the EVSE  circuit shall be provided, in accordance with  G.4.13.2."
6079,The isolating device shall be:    i) capable of being locked in the open position;    ii) located in a position that is readily accessible    for maintenance purposes; and    iii) suitably identified by marking and/or    identification.
6080,"2) Where an emergency switch is provided, it shall:    i) be located in a position that is readily  accessible, in accordance with the  manufacturer’s recommendations;    ii) be suitably identified by marking and/or    c) The following requirements shall be met for sockets    labelling; and    and connectors."
6081,"iii) disconnect all live conductors, including the    1) One socket outlet and/or vehicle connector shall    neutral."
6082,be used to charge one EV.
6083,e) The following requirements shall be met for    2) EVSE shall be installed such that the main    protection.
6084,operating controls and any socket outlet are  between 0.75 m and 1.2 m above ground.
6085,3) The EV manufacturer’s instructions shall be    followed when determining the type of socket  outlet to be installed.
6086,1) EVSE and all associated equipment shall    be selected and erected in such a way as to  minimize the risk of overloads and short-  circuits.
6087,2) Each final circuit shall be individually protected    against fault current by a suitably rated  overcurrent protective device.
6088,Dubai Building Code    Part G: Incoming utilities     3) An operation instruction for the charging facility  shall be displayed at a prominent location at all  parking spaces with EVSE.
6089,The instruction shall  include the following information:    i) rated voltage (V);    ii) frequency (Hz);    iii) current (A); and    iv) number of phases.
6090,4) Directional signage inside and outside car parks  is recommended to direct EV drivers to parking  spaces with EVSE.
6091,3) Basic protection against electrical shock shall be  provided by automatic disconnection of supply  or electrical separation (see G.4.13.2).
6092,4) Every charging point shall be individually    protected by a 30 mA RCD.
6093,"The RCD shall  disconnect all live conductors, including the  neutral."
6094,5) The requirements of G.4.19 shall be met on final    circuits.
6095,f) The following requirements shall be met for    labelling.
6096,"1) The labelling and identification requirements    listed in G.4.18.6 shall be met, together with the  following."
6097,2) All labels on EVSE shall be:    i) clear;    ii) easily visible;    iii) written in both Arabic and English; and    iv) constructed and affixed to remain legible for    as long as the enclosure is in use.
6098,"G 72    Dubai Building Code    Part G: Incoming utilities     G.6    Renewable energy    G.6.1    General    As a type of renewable energy, solar energy is clean  and secure."
6099,"DEWA encourages the use of solar energy  to reduce reliance on traditional energy sources  (such as gas, oil and coal), which are diminishing."
6100,The onsite generation of electricity from a solar PV  shall be by a solar grid-connected system.
6101,"The grid-  connected solar generator shall be connected to the  DEWA network, and operated and maintained in  accordance with applicable legislation [Ref."
6102,G.4] and  DEWA Shams Dubai regulations [Ref.
6103,G.5].
6104,System  documentation requirements are described in G.6.2.
6105,NOTE 1: The connection of a solar PV system or  distributed renewable resource generation (DRRG) to  the DEWA grid is subject to DEWA approval.
6106,NOTE 2: Detailed technical requirements are set out in  DEWA Technical publications and resources [Ref.
6107,G.6].
6108,"The designer shall comply with DEWA specifications,  acceptable standards, procedures and other  requirements published on DEWA website  (Shams Dubai section)."
6109,The requirements are updated  regularly and form an integral part of the DBC.
6110,"Solar power generation systems shall conform to  Section 2, Ch."
6111,14 of the UAE FLSC [Ref.
6112,G.1] and  this section.
6113,"G 73    Building attached photovoltaics (BAPV) systems  attached to roofs, excluding curved or special roofs,  are permitted to achieve a minimum fire classification  of Class C when tested as per the test standards in  Section 2.2.4, Ch."
6114,14 of the UAE FLSC [Ref.
6115,G.1].
6116,The minimum fire classification permitted for building  integrated photovoltaics (BIPV) and BAPV systems  other than the above shall be confirmed with DEWA  and DCD upon commencement of design.
6117,G.6.2    System documentation requirements    Consultants and Contractors registered with DEWA  for activities related to grid-connected solar PV  systems (DRRG Solar PV Consultants and DRRG  Solar PV Contractors) shall follow the DEWA  guidelines published on the DEWA website for these  requirements.
6118,"Applications for solar connections shall  be submitted online and shall include the following  documents:    a) basic system information;    b) details of the system designer;    c) details of the system installer, operation and    maintenance procedure."
6119,NOTE: Detailed requirements are set out in DEWA  Connection guidelines for distributed renewable  resources generators connected to the distribution  network [Ref.
6120,G.7].
6121,G.6.3    Wiring diagram datasheets    An annotated/table form single line wiring diagram  that meets the requirements of DEWA Shams Dubai  regulations [Ref.
6122,G.5] shall be uploaded with the  DEWA application.
6123,"It shall include the following  information:    a) PV array general specifications:    1) PV module type(s);    2) total number of PV modules;    3) number of PV strings;    4) PV modules per string;    b) PV string information:    1) string cable specifications – size and type;    2) string fuse specifications (where fitted) – type    and voltage/current ratings;    c) PV array electrical details:    1) PV array main cable specifications, AC and    DC – size and type;    2) PV array junction box locations (where    applicable);    3) DC isolator type, location and rating    (voltage/current);    d) earthing and overvoltage protection:    1) details of all earth/bonding conductors – size  and connection points (to include details of PV  array frame equipotential bonding cable where  fitted);    Dubai Building Code    Part G: Incoming utilities     2) Design verification and details of any    connections to an existing lightning protection  system or supplementary lightning protection  system that is to be provided;    3) details of any surge protection device installed  (on both AC and DC lines), including location,  type and rating;    e) AC electrical details, inbuilt and external    protections:    1) AC isolator location, type and rating;    2) AC overcurrent protective device location, type    and rating;    3) residual current device location, type and rating."
6124,G.6.4    Labelling and identification    G.6.5    Metering and metering provision    DEWA requires access to meter cabinets for the  installation of smart meters (PV generation check  meters and tariff meters).
6125,"Contractors shall install  meter cabinets in an easily accessible location, in  accordance with G.4.5."
6126,A solar PV installation shall meet the requirements of  DEWA Shams Dubai regulations [Ref.
6127,"G.5], together  with the following requirements."
6128,"a) All circuits, protective devices, switches and    terminals shall be labelled to identify all relevant  parts of the installation."
6129,b) All DC junction boxes (PV generator and PV    array boxes) shall be provided with caution labels  indicating the risk due to dual source.
6130,c) The main AC isolating switch shall be clearly    labelled.
6131,d) A single line wiring diagram shall be displayed  within the respective electrical rooms/panels.
6132,"e) Inverter protection settings and installation details,    as applicable, shall be displayed."
6133,f) The procedures for emergency shutdown shall be    displayed.
6134,g) All signs and labels shall be suitably affixed.
6135,h) Durable copies of all test and commissioning data    shall be provided to the consumer.
6136,G 74    Dubai Building Code    Part G: Incoming utilities     G.7    Substation and MV installations    G.7.1    MV network design requirements  and guidelines (11 kV)    G.7.1.4  The maximum sustained loads of 11 kV feeder are:    Cable loads    G.7.1.1  G.7 outlines the design requirements where:    General    a) a DEWA substation is required within the building    or plot boundary; and    b) an 11kV medium voltage (MV) network provides    the primary power to the building or plot.
6137,Reliability of supply    G.7.1.2  A ring supply consisting of two feeders (a two-feed  ring) is the normal feeding arrangement for power  supply.
6138,A three-feed ring arrangement may be adopted  for cases where all MV switchgears/RMUs are installed  in one location to ensure specific supply reliability.
6139,"For reliable power supply, N-1 line criterion may be  used in some installations."
6140,"In case of power failure  in one feeder, the other feeder should be capable of  meeting the entire demand for a maximum of 6 h.    G.7.1.3  The DEWA standard 11 kV cable sizes are:    Standard cable sizes    a) 3/C 300 mm2 copper XLPE;  b) 3/C 240 mm2 copper XLPE;  c) 3/C 240 mm2 aluminium XLPE."
6141,a) for 300 mm2 copper XLPE cables (summer rating):    175 A/3 MW;    b) for 240 mm2 copper XLPE cables (summer rating):    160 A/2.7 MW.
6142,The single unit load demand shall not exceed the  maximum sustained current of 175 A/3 MW for an  11 kV feeder cable.
6143,"All 11 kV private switchgear shall have a rated  symmetrical short-circuit current not less than 31.5kA,  with a short time current rating of 3 s.    For private equipment with bulk loads (e.g."
6144,"furnaces or  district cooling) requiring direct MV supply, space for  metering units at the customer’s premises/substation  shall be provided."
6145,"Necessary documents, drawings and  SLDs shall be submitted for comments/approval at  design stage."
6146,Parallel operation    G.7.1.5  Parallel operation of DEWA’s MV feeders are not  allowed in any circumstances.
6147,Electrical and mechanical  interlocking shall be provided where required.
6148,Standby generators are not allowed to operate in  parallel with DEWA’s network.
6149,Interlocking shall be  provided where required.
6150,The customer shall maintain a PF between 0.95  (lagging) and unity at the point of connection with  DEWA’s MV Network.
6151,"The customer shall comply with DEWA’s limits of  maximum allowable motor starting currents, and  corresponding electrical power ratings, as indicated in  Table G.22."
6152,Motor electrical power rating    Max.
6153,"starting current*    Less than or equal to 600 kW 6 × full load current    Above 600 kW and up to 1,200  kW    4 × full load current    Above 1,200 kW and up to  1,800 kW    Above 1,800 kW and up to  2,400 kW    Above 2,400 kW and up to  3,000 kW    3 × full load current    2 × full load current    1.5 × full load current    Motor electrical power rating    Max."
6154,starting current*    * Maximum current per feeder during motor starting (including  other running motors and loads) should not exceed 350 A at any  circumstances.
6155,Table G.22 DEWA limits of maximum allowable motor starting currents    G 75    Dubai Building Code    Part G: Incoming utilities       Cable trenches    G.7.1.7  The maximum allowable number of cables per trench  for 11 kV cables is 20.
6156,"These cables shall be arranged  in a maximum of two layers within a trench with a  maximum width of not more than 3 m on both sides  of the road, close to 132/11 kV substation."
6157,A minimum of 2 m clearance shall be maintained  between any MV cable trench and the surrounding  heat sources such as 132 kV cable trench.
6158,The permitted horizontal spacing between MV cables  is 150 mm (edge to edge for MV cables) and permitted  vertical spacing between layers is 100 mm (edge to  edge for 11 kV cables).
6159,Refer to Figure G.35.
6160,Crossing between 132 kV cables and MV cables  shall not be used unless it is unavoidable.
6161,A separate  corridor shall be allocated within the premises for MV  cable laying along the road.
6162,"In soil with a resistivity below 1.6 °C-m/W, the backfill  around MV cables shall have a maximum moisture  content of 2% and be at 90% compaction."
6163,An SLD illustrating the protection schemes shall be  submitted with a relay setting calculation at the design  stage.
6164,Figure G.35 Typical minimum clearance between cables installed within trench    The following information shall be submitted for  approval at design stage:    a) motor specification;    b) starting method characteristics and specifications;    c) number of motor starts per day and operation    sequence;    d) SLDs and equipment layouts.
6165,"Harmonics    G.7.1.6  For loads that inject harmonics currents into DEWA’s  network, harmonic (voltage and current) study at the  point of connection is required."
6166,The study shall be  submitted for DEWA approval at the design stage.
6167,"The customer shall comply with DEWA’s limits of  harmonic emissions for voltage and current, based on  IEC 61000-3-6:2.0-2008."
6168,"Detailed specifications and  size of equipment, including harmonics spectrum, shall  be provided for DEWA approval."
6169,"After commissioning of the project, harmonics and  flicker site measurements shall be conducted."
6170,A report  of the measurements shall be submitted to DEWA.
6171,"Where the measured values exceed DEWA’s limits, the  customer shall arrange for a solution to reduce the  harmonic emissions to the permissible limits."
6172,"G 76    Dubai Building Code    Part G: Incoming utilities     G.7.2    Substation construction within private plots    General    G.7.2.1  Building-type substations shall be constructed for  projects such as labour accommodation, schools,  nurseries and hospitals."
6173,Pocket (self-contained) substations shall not be  installed at petrol stations and inside buildings.
6174,"Substation parameters    G.7.2.3  A single room substation at ground floor (see G.7.5.1)  shall have a clear height of not less than 3,700 mm."
6175,"For split/basement substation arrangements (see  G.7.5.2), the RMU room at ground floor shall have a  clear height of not less than 3 m.    Expansion joints shall not be used in RMU rooms or  transformer rooms, or on ceilings."
6176,A basement transformer room shall have a clear height  of not less than 3 m.    Substation location    G.7.2.2  The substation shall be positioned in a dedicated room  or housing.
6177,Substations located in basement levels shall have  transformer rooms in the first basement level only.
6178,LV electrical rooms shall be adjacent to the substation  room if the main panel is private.
6179,Wet areas shall not be installed above substations  (see G.7.4).
6180,The substation finished floor level (FFL) shall be  maintained between 150 mm and 300 mm above  the adjacent ground level (towards the door side).
6181,Additional room parameters are shown in Figure G.36  and Figure G.37.
6182,The FFL of a transformer room at basement level shall  be maintained between 75 mm and 150 mm higher  than the adjacent outside ground level (towards door  side).
6183,G 77    Dubai Building Code    Part G: Incoming utilities     6.54    06    1.0    0.77    0.90    0.77    2.05    0.20    0.40    0.85    01    02    0.60    3.0    05    0.45    04    5.00    0.92    0.60    0.92    0.87    1.03    03    0  4  .
6184,0    0  4  .
6185,0    1.00    6.54    06    1.68    3.05    1.68    1.0    0.77    0.90    0.77    2.05    0.20  0.40    0.85    01    02    0.60    3.0    05    0.45    04    5.00    0.92    0.60    0.92    0.87    1.03    03    0  4  .
6186,0    0  4  .
6187,0    1.00    2.75    07    2.15    0.60    5.00    3.00    08    0.45    0.60    0.95    0.15    09    3.70    0.63    11    10    1.68    3.05    1.68    5.00    3.00    08    Figure G.36 General dimensional details of substations within buildings (m)    2.15    3.70    2.75    07    G 78    0.60    0.45    0.60    0.95    0.15    09    0.63    11    10    Key  01: 150 mm øPVC at trench level  02: Transformer base  03: RMU  04: RTU  05: All louver windows as door details above FFL of  0.6 m x 3 m (w) x 2.15 m (h)  06: 600 mm opening at channel base level    07: Door  08: Air intake louver  09: Chequered plate with two lifting holes  10: 25 mm diameter lifting hole  11: Chequered plate cover    Dubai Building Code    Part G: Incoming utilities     7    7    .
6188,0    0    9    .
6189,0    7    7    .
6190,0    0.20  0.40    7    7  0    .
6191,0    9  0    .
6192,7    7  0    .
6193,0  4  0    .
6194,0.20  0.40    0  4  0    .
6195,0.85    01    02    1.03    03    0.40    0.85    01    02    1.03    03    0.40    0  0    .
6196,1    0.45    0  0  .
6197,1    0.45    0.20  0.40    0.85    0.45    2  9  .
6198,0    7  7  .
6199,0    0  6  .
6200,0    0  9  .
6201,0    04    05    0  4  .
6202,0    01    1.0 0    0.5 0    2  9  .
6203,0    0  6  .
6204,0    2  9  .
6205,0    7  7  .
6206,0    06    02    07    08    2  9  .
6207,0    0  4  .
6208,0    1.03    03    0.40    0  0  .
6209,1    2  9  .
6210,0    0  6  .
6211,0    2  9  .
6212,0    04    05    0  4  .
6213,0    1.0 0    0.5 0    06    07    08    (a) Transformer and RMU details    (b) Chequered plate mounting detail    09    04    05    0  4  .
6214,"0    14    06    07    08    13    1.0 0    0.5 0    10    11    12    0.65    0.30  0.15    (c) Incoming trench construction details    14  Figure G.37 Details within Figure G.36 (m)    09    0.65    0.30  0.15  G 79    13    10    11    12    09    14    13    10    11    12    0.65    0.30  0.15    0.95    0.15  0.30    0.95    0.15  0.30    Key  01: 150 mm øPVC at trench level  02: Transformer base  03: RMU  04: 13 mm × 6 mm flat bar welded to angle  05: 6 mm thick hot dip galvanized chequered  plate cover  06: 25 mm × 25 mm × 3 mm angle welded to  chequered plate cover on two side  07: 60 mm × 60 mm × 6 mm edge angle  08: T10 anchor welded to angle at 300 mm  centre-to-centre  09: Wall  10: Opening  11: Pre-cast concrete  12: Slope  13: Channel  14: Chequered plate    0.95    0.15  0.30    Dubai Building Code    Part G: Incoming utilities     Earthing    G.7.2.4  Substation earthing, which forms part of the  consumer’s scope, shall meet DEWA requirements at  design stage."
6215,The following requirements shall be met for substation  neutral earthing schemes (see Figure G.38):    a) Two or more dedicated and interconnected earth  pits shall be provided for transformer earthing  and shall be connected to the substation earth  strips in a loop.
6216,The effective earth resistance value  measured from any neutral earthing strip shall be  less than 2.0 Ω.    b) Two or more dedicated and interconnected earth  pits shall be provided for transformer equipment  body earthing and shall be connected to the  transformer equipment body earth strips in a loop.
6217,The effective earth resistance value measured from  any of the equipment body earth strips shall be less  than 2.0 Ω.    c) Interconnection of transformer neutral earthing  and equipment body earthing is not permitted.
6218,"d) Earth strips shall be mounted on the cable    trench wall at the nearest point to the respective  equipment, with a minimum clearance of 50 mm  from the wall."
6219,e) Earth strips shall be provided with a minimum of  four 12 mm diameter holes for earth looping.
6220,G 80    f) Earth conductors shall be copper material with  a minimum of 95 mm2 diameter.
6221,"If the length of  conductors exceeds 50 m, 120 mm2 diameter  copper earth conductors shall be used."
6222,"g) In substations with multiple transformer and RMU    arrangements, the neutral earthing scheme outlined  shall be repeated for every two transformers and  the same equipment body earthing scheme to be  repeated for every three transformers and their  corresponding RMUs."
6223,Figure G.38 Substation neutral earthing    Key  01: Substation neutral  earth strips  02: Body neutral earth  strips  03: To neutral earth pits  04: To body earth pits  05: Substation room    Dubai Building Code    Part G: Incoming utilities     G.7.3    Substation location and access    The substation room/RMU room shall be directly  located on the RTA/public road or sikka.
6224,"Where the substation/RMU room is located on a sikka,  the sikka should have a minimum clear width of 6.1 m.  However, if the proposed RMU room location is less  than 12 m away from the main road then the sikka can  be used with a minimum clear width of 3 m.    Access shall be provided for DEWA staff and vehicles  from the plot limits to the substation and RMU rooms  (if setback is allocated in the affection plan by the  competent authority)."
6225,The access shall be directly open  to sky and available 24/7.
6226,"In a split room/basement room arrangement, the  transformer room may be located on an internal  driveway having a clear (3 m wide x 3 m high) and  direct access from the RTA road."
6227,Requirements for provision of attic    G.7.4  slabs above substations and LV electrical  rooms    Wet facilities shall not normally be located above  the substation/RMU room/LV electrical room.
6228,"Occasionally, in exceptional unavoidable cases, this  is permitted at the discretion of DEWA, and in these  cases the following requirements shall be met."
6229,G 81    a) A reinforced concrete attic slab shall be provided  above the entire substation/RMU room/LV  electrical room.
6230,"b) The entire attic slab and floor slab above, including  the vertical sides above the attic slab, shall be  waterproofed using an approved system."
6231,"c) The Consultant shall take full responsibility for  supervision of the waterproofing works, during  execution and testing of waterproofing."
6232,"d) All pipes, joints, trap, etc."
6233,running in wet areas  shall be enclosed in an approved waterproofing  membrane.
6234,e) The void between the floor and attic slab shall    have a clear height of not less than 600 mm.
6235,"The  void above the attic slab shall be accessed via an  opening of 1,200 mm × 600 mm, fitted with an  aluminium louvered door."
6236,The void shall not be used  for any other purpose and shall have a permanent  lighting arrangement.
6237,A drain pipe shall be provided  for the attic slab to drain out any water leakage  through the floor slab.
6238,Tiles are not compulsory  above the attic slab.
6239,f) The Consultant shall forward complete floor plans  to DEWA.
6240,The plans shall show the location of  the wet area and the substation/RMU room/  LV electrical room.
6241,The extent of the attic slab  shall be clearly marked in the plans.
6242,"Typical cross  sections through the wet area, substation/RMU  room/LV electrical room and attic slab shall be  shown in the drawings, including the waterproofing  arrangement/systems/materials."
6243,"The following checklist shall be followed for attic slab  construction:    1)    reinforced concrete attic slab above entire  substation/ring main unit/LV;    2) clear depth (void) of 600 mm between attic slab    and floor slab;    3) aluminium louvered access door of    1,200 mm × 600 mm to above clear depth (void)  from outside substation;    4) waterproofing of attic slab, floor slab above attic    slab and vertical side walls;    5) drain pipe of 40 mm diameter projecting out of    the attic slab;    6) waterproofing of all pipe joints, traps, etc."
6244,running    in wet areas;    7)    lighting inside the void space;    8) drawings showing the above details attached;    9) guarantee letter;    10) no high pressure and vertical pipes passing in the    void area;    11) PVC tray provided with a 1:100 slope towards the    drain pipe.
6245,Dubai Building Code    Part G: Incoming utilities     G.7.5    Substation types and areas    G.7.5.1    Single room substation (RMU and transformer in same room on  ground floor)    The dimensions for a single room substation where the RMU and transformer are in  the same room on the ground floor shall conform to Table G.23 and Figure G.39 to  Figure G.41.
6246,6.54    06    1.0    0.77    0.90    0.77    2.05    0.20  0.40    Area required  (m2)    Minimum width  of room (m)    0.85    01    02    0.60    33    55    Additional 25    3.0    05    0.45    4.57    6.1    —    —    04    5.00    0.92    0.60    0.92    0.87    1.03    03    0  4  0    .
6247,0  4  0    .
6248,"1.00    1.68    3.05    1.68    Figure G.39 Typical 1 × 1,000 kVA/1,500 kVA substation arrangement (m) (for reference only, not for  construction)    Key  01: 150 mm øPVC at Trench Level  02: Transformer Base  03: RMU  04: RTU  05: Louvered windows 3.0 m (w) x 2.15 m (h), installed 0.6 m AFFL,  to be constructed to same detail as louvered doors  06: 0.60 m opening at channel base level    Transformer topologies    1 × 1,000/1,500 kVA    2 × 1,000/1,500 kVA    Additional transformer    Four or more transformers (including necessary equipment)    10    Table G.23 Dimensions of single room substation    G 82    Dubai Building Code    Part G: Incoming utilities       9.00    6.00    5  7  ."
6249,0    0.45    0.20  0.40    0.77    0.90    0.77    1.00    0.77    0.90    0.77    0.20  0.40    0.85    01    02    0.85    01    02    0.45    0.45    0.92    0.60    0.92    0.92 0.60    0.92    04    0.90    0  3  .
6250,0    0.67    0  8  .
6251,0    0  1  .
6252,2    0  4  .
6253,0    0  6  .
6254,0    0  0  .
6255,3    0  0  .
6256,6    03    0  3  .
6257,"1    1.00    2.98    3.05    2.98    Figure G.40 Typical 2 × 1,000/1,500 kVA substation arrangement (m) (for reference only,  not for construction)    Key  01: 150 mm øPVC at trench level  02: Transformer base  03: RMU  04: RTU    G 83    Dubai Building Code    Part G: Incoming utilities     5  7  ."
6258,0    0.45    0.20  0.40    0.77    0.90    0.77    1.00    0.77    0.90    0.77    0.20  0.40    0.85    01    02    0.85    01    02    0.45    0.45    0.92    0.60    0.92    0.92    0.60    0.92    0  0  .
6259,6    04    0.90    0  3  .
6260,0    0.67    0  8  .
6261,0    0  1  .
6262,2    0  4  .
6263,0    0  6  .
6264,0    03    0  3  .
6265,"1    1.00    05    06    Figure G.41 Typical substation arrangement allowing for additional transformers (m) (for reference only, not for construction)    9.0    4.15    1.65    Key  01: 150mm øPVC at Trench Level  02: Transformer base  03: RMU  04: RTU  05: 25 m2 for extra transformer  06: 10 m2 for extra transformer    G 84    Dubai Building Code    Part G: Incoming utilities     G.7.5.2    Split room substation (RMU and transformer in separate rooms on  ground floor)    The dimensions for a split room substation where the RMU and transformer are in  separate rooms on the ground floor shall conform to Table G.24, Figure G.42,  Figure G.43, Table G.25 and Figure G.44."
6266,Transformer topologies    Area required  (m2)    Minimum width  of room (m)  towards door side    0  .
6267,3    0  .
6268,"2    For one RMU set controlling two transformers    Additional RMU set    9    7    Four or more transformers (including necessary equipment)    10    3    3    5    Table G.24 Dimensions of RMU room, ground floor    Key  01: RMU  02: RTU  03: 9 m2    3.0    02    6  3  ."
6269,1    0.60    0  4  .
6270,0    1.00    01    1.55    3  0  .
6271,1    0  6  .
6272,0    03    8  2  .
6273,0    4  4  .
6274,2    8  2  .
6275,0    0  2  .
6276,"0    Figure G.42 Typical ground floor RMU room spatial arrangements for one  RMU (m) (for reference only, not for construction)    6  3  1    ."
6277,0.60    3.0    0  4  0    .
6278,01    1.00    02    1.55    03    3  0  1    .
6279,0  6  0    .
6280,"04    05    Key  01: RMU  02: RTU  03: 9 m2  04: 7 m2 for extra RMU  05: 10 m2 for four and above transformers    3.0    2.33    3.33    Figure G.43 Typical ground floor RMU room spatial arrangements for multiple RMUs (m) (for reference only, not for construction)    G 85    Dubai Building Code    Part G: Incoming utilities       Key  01: 150 mm øPVC at trench level  02: Transformer base  03: Trench  04: 21 m2 for extra transformer    Transformer topologies (ground floor)    Area required  (m2)    Minimum width  of room (m)    1 × 1,000/1,500 kVA    Extra area required for an additional transformer    For 2 × 1,000/1,500 kVA transformers    21    21    42    4.57    —    6.1    Table G.25 Dimensions of transformer room, ground floor    0.77    0.90    0.77    01    02    1.28    0.20  0.40    0.45    2  9  ."
6281,0    0  6  .
6282,0    2  9  .
6283,0    03    1.70    0.20    0  2  .
6284,4    5  0  .
6285,"3    0.20    3.05    5.00    Figure G.44 Typical ground floor transformer room spatial arrangements (m) (for reference only, not for construction)    04    5.00    G 86    Dubai Building Code    Part G: Incoming utilities     G.7.5.3    Basement substation (RMU room in ground floor and transformer  room at basement level)    The dimensions for a basement substation where the RMU room is on the ground  floor shall conform to Table G.26, Table G.27, Figure G.43 and Figure G.44."
