,Sentences
7105,9.
7106,1    General    D.
7107,9.
7108,"3    Handling capacity and traffic pattern    Design method 2 relies on a series of interrelated parameters, all of which shall be  included in the VT design."
7109,"    It is the design team’s responsibility to include elevators for other services, not  limited to firefighting and evacuation elevators (D."
7110,8.
7111,"3), service elevators (D."
7112,8.
7113,"2) and  waste elevators, as required by building operators, the DBC and the Authorities."
7114,    NOTE: A report template for design method 2 is given in D.
7115,10.
7116,2.
7117, A summary of the  minimum information required in the report is given in D.
7118,10.
7119,3.
7120,    D.
7121,9.
7122,2    Population estimation    General    D.
7123,9.
7124,2.
7125,1  The occupancy rate tables referred to in D.
7126,8.
7127,8 to D.
7128,8.
7129,18 guide the estimation  of population for various building types.
7130, The VT Consultant shall use the most  appropriate method for estimating population.
7131,"    If the population required by the owner/developer and permitted by the Authority is  higher, the higher requirement shall be followed."
7132,    Handling capacity    D.
7133,9.
7134,3.
7135,1  The handling capacity of elevators shall not exceed the values given in Table D.
7136,32 and  Table D.
7137,33.
7138,"    Type    Residential    Hotel    Hotel apartment    Car parking    Office    Healthcare    Educational    Retail    Classification    Apartments    Student accommodation    Staff accommodation    1- and 2-star    3-star    4- and 5-star    Hotel apartment    Office/mall    Regular    Concentrated    Clinics and hospitals    Universities    Handling capacity HC5%    7%    8%    6%    10%    11%    12% to 15%    10%    8% to 10%    12%    12%    8% to 10%    16% to 20%    Retail, shopping centres and malls    8% to 10%    Table D."
7139,32 Handling capacity (HC5%)    Type    Office    Classification    Regular    Concentrated    Handling capacity HC5%    13%    13%    Table D.
7140,33 Handling capacity (HC5%) during lunch break    D 34    Dubai Building Code    Part D: Vertical transportation     Traffic pattern    D.
7141,9.
7142,3.
7143,2  Different building types experience different circulation patterns at different times of  day.
7144, The traffic pattern adjustments given in Table D.
7145,34 shall be used in the design.
7146,    D.
7147,9.
7148,4    Average waiting time    The values in Table D.
7149,35 shall be used as the basis for elevator specifications.
7150,    Building type    Classification    Residential    Hotel    Morning    Evening    Morning    Evening    Hotel apartment    Evening    Car parking    Evening    Traffic pattern    35% up/65% down    50% up/50% down    50% up/50% down    50% up/50% down    50% up/50% down    50% up/50% down    Office    Morning peak – single tenant    85% up/10% down/5% inter-floor    Morning peak – multi-tenant    85% up/15% down    Lunch peak – single tenant    45% up/45% down/10% inter-floor    Lunch peak – multi-tenant    50% up/50% down    Healthcare    Educational    Patients    Visitors    Staff    Morning    Breaks    50% up/50% down    50% up/50% down    40% up/40% down/20% inter-floor    100% up    40% up/40% down/20% inter-floor    Retail    Weekend evening    40% up/40% down/20% inter-floor    Table D.
7151,"34 Traffic pattern    Building type    Classification    Residential    Apartment    Student accommodation    Staff accommodation    Hotel    1- and 2-star    3-star    4- and 5-star    Hotel apartments    Car parking    Parking in malls/offices/residences    Office    Regular    Concentrated    Healthcare    Clinics and hospitals    Educational    Universities    Retail    Retail, shopping centres and malls    Table D."
7152,35 Average waiting time    Average waiting time (s)    ≤40    ≤45    ≤45    ≤40    ≤35    ≤30    ≤35    ≤40    ≤35    ≤35    ≤40    ≤40    ≤40    D 35    Dubai Building Code    Part D: Vertical transportation     (a) overcrowded car with capacity factor approx.
7153,  80%    (b) less crowded car with capacity factor approx.
7154,  60%    Figure D.
7155,24 Occupancy in elevator car    D.
7156,9.
7157,5    Capacity factor    The capacity factor of elevator cars shall not exceed the values in Table D.
7158,36.
7159, A  maximum capacity factor of 70% shall be used for panoramic elevators.
7160,    Figure D.
7161,24 illustrates elevator car capacity factors.
7162,"    Building type    Classification    Residential    Apartments    Recommended    60% to 80%    Hotel    Accommodation    1- and 2-star    3-star    4- and 5-star    Hotel apartments    Car parking    Parking in malls/offices    Office    Regular    Concentrated    80%    80%    60%    50%    60%    80%    80%    80%    Healthcare    Clinics    60% to 80%    In-patient facilities    Educational    Universities    Retail    Retail, shopping centres and mall    50%    80%    50%    Table D."
7163,36 Capacity factor    D 36    Dubai Building Code    Part D: Vertical transportation     D.
7164,9.
7165,6    Boarding floors    D.
7166,9.
7167,8    Factors influencing VT system efficiency    Car parking floors above or below the main boarding floor become boarding floors  for car occupants and distribute the total building population.
7168, The population of  podium and basement parking floors shall be estimated based on a rate of 1.
7169,5  persons per car.
7170,    Door timing    D.
7171,9.
7172,8.
7173,1  Shorter door timings improve the efficiency of an elevator.
7174, The most efficient door  parameters shall only be included in the design calculations when they can be fulfilled  by the manufacturer.
7175,    Table D.
7176,"37 gives an example population distribution for a residential building with a  total population of 1,000 people and four parking floors (100 parking spaces each)."
7177,"    Boarding floors    Number of parking spaces Population    Boarding bias    Podium 2    Podium 1    Basement floor B1    Basement floor B2    Ground floor    100    100    100    100    —    150    150    150    150    15%    15%    15%    15%    1,000 minus the sum of above 40%    Table D."
7178,37 Example population distribution at boarding floors    D.
7179,9.
7180,7    Magnet floors    A magnet floor is a floor likely to attract traffic from multiple other floors.
7181," Examples  include staff dining rooms, restaurants, gyms and conference suites."
7182,    NOTE: Magnet floors should have dedicated elevators.
7183," If dedicated elevators are not  provided, the population of the magnet floors shall be estimated and added to the  building population to help determine the required number of passenger and service  elevators."
7184,    NOTE: Table D.
7185,38 gives door timings for different elevator operations.
7186,    Building  type    Classification    Door timing (s)    Door  open    Door  close    Dwell  time    Pre-  opening*    Residential    Apartments <120 m in height    Apartments ≥120 m in height    Student accommodation    Staff accommodation    Hotel    1- and 2-star    3-star    4- and 5-star    Hotel apartments <120 m in height    Hotel apartments ≥120 m in height    Car parking Mall/residences/offices    Office    Regular    Concentrated    Healthcare    Clinics and hospitals    Educational    Schools and universities    2.
7187,2    1.
7188,9    2.
7189,2    2.
7190,2    2.
7191,2    1.
7192,9    1.
7193,9    2.
7194,2    1.
7195,9    2.
7196,2    1.
7197,9    1.
7198,9    2.
7199,2    2.
7200,2    2.
7201,2    3.
7202,2    2.
7203,8    3.
7204,2    3.
7205,2    3.
7206,2    2.
7207,8    2.
7208,8    3.
7209,2    2.
7210,8    3.
7211,2    2.
7212,8    2.
7213,8    3.
7214,2    3.
7215,2    3.
7216,2    3 to 5    0    0    0.
7217,5    0    Access control to residential and office floors in the building shall be provided.
7218,"    Retail    Retail, shopping centres and malls    D 37    * This is generally recommended in office buildings."
7219, This is not recommended in hotels and residential  buildings considering the comfort levels of elders and children.
7220,    Table D.
7221,"38 Door timing based on two-panel centre opening (900 mm wide to 1,100 mm wide)    Dubai Building Code    Part D: Vertical transportation     Destination control systems    D."
7222,9.
7223,8.
7224,"3  Conventional elevator control systems are the most user-friendly, but they can be less efficient compared to  destination dispatch (DD)/hall call destination control (HCDC), or a destination control system (DCS)."
7225,    Figure D.
7226,25 illustrates a conventional control system and Figure D.
7227,26 illustrates a DCS.
7228," In a DCS, the passenger  enters the destination floor before entering the cabin."
7229, The terminal shows floor numbers or a telephone keypad.
7230,    Acceleration and jerk    D.
7231,9.
7232,8.
7233,2  Lower acceleration and jerk values provide better  perceived comfort for passengers.
7234, Table D.
7235,39 gives  recommended maximum values.
7236,"    For bed elevators, acceleration shall not exceed  0."
7237,6 m/s2 and jerk shall not exceed 1.
7238,0 m/s3.
7239,    Speed (m/s)    Acceleration (m/s2)    Jerk (m/s3)    1    1.
7240,5 to 1.
7241,75    2.
7242,0 to 2.
7243,5    3.
7244,0 to 4.
7245,0    ≥5    0.
7246,7    0.
7247,8    0.
7248,9    1    1.
7249,2    0.
7250,8    0.
7251,9    1    1.
7252,1    1.
7253,4    Table D.
7254,39 Recommended maximum acceleration and jerk at a given  speed    Figure D.
7255,25 Conventional control system    Figure D.
7256,26 Destination control system    Key  01: Typical floors  02: Boarding floors    D 38    Dubai Building Code    Part D: Vertical transportation     A DCS is preferred under the following conditions.
7257,    Building type    Conventional system    Residential apartment – occupants are  familiar with the elevator system    Office – occupants are familiar with the  elevator system    Hotel – occupants are unfamiliar with the  elevator system    Hotel apartment – occupants are  unfamiliar with the elevator system    Educational building – stairs are relied  upon to move between classes    Healthcare building (staff area) –  occupants are familiar with the elevator  system    Healthcare building (all other areas) –  mixture of occupants who are familiar and  unfamiliar with the elevator system    P    P    P    P    P    P    P    Destination control system  P    P P    -    -    -    P    -    Table D.
7258,40 Recommendations for destination control systems in buildings    Hybrid systems    D.
7259,9.
7260,8.
7261,4  A hybrid system (historically called an up-peak booster) combines destination control  at the main boarding floor with conventional elevator controls at other floors.
7262, A  hybrid system should be used where it is necessary to overcome lag in a DCS during  peak lunchtime occupant circulation.
7263,    a) The elevators in the group do not serve an equal number of stops/floors.
7264,    b) The up-peak traffic is demanding.
7265,    c) There are multiple function areas in floors/mixed use buildings.
7266,    d) Tenants and visitors enrol to get into the building/office premises.
7267,    A DCS offers the following advantages over a conventional control system.
7268,    1)    2)    3)    4)    5)    It improves the time to destination by grouping people travelling to the same  floors at learned intervals.
7269,"    It results in organized lobby space, allowing more people to wait in the lobby."
7270,    It is able to perform express travel with fewer intervening stops.
7271,"    It improves system efficiency and handling capacity, allowing a group of  elevators to transport more passengers in a fixed period of time."
7272,"    It allows terminals to be mounted away from the elevator lobby, reducing  congestion in the elevator lobbies."
7273,    A DCS offers the following disadvantages over a conventional control system.
7274,    i)    It has a relatively lower performance during the lunchtime peak.
7275,"    ii) For correct and efficient operation of a DCS, each passenger needs to enter their  destination and not tail-gate."
7276," Groups of people tend to allow one person to enter  the destination floor, which means the DCS computes that there is only one  person when there could be two, three or more persons."
7277,    iii)    It is not user-friendly for people unfamiliar with the system.
7278, A passenger getting  into the wrong elevator has to exit and take another elevator to reach their  destination.
7279,    Table D.
7280,40 sets out building types that benefit from a DCS compared to a  conventional control system.
7281,    D 39    Dubai Building Code    Part D: Vertical transportation     D.
7282,10 Annex: Vertical transportation design summaries and report template    D.
7283,10.
7284,1  summary – Design method 1    Vertical transportation selection    D 40    Vertical transportation selection summary (Design method 1)    Project name    Location    Plot no.
7285,    Client    Architect    Project type    Project classification    Estimated population    Number of groups    Occupiable floors    Boarding floors including main lobby    Number of passenger elevators based on  population    Number of passenger elevators based on  boarding floors    Number of dedicated firefighting  elevators    Number of dedicated service elevators    Number of other elevators    Total elevators in the project    Number of escalators in the project    Number of moving walks in the project    Comments    Reviewed by    Form number    Date    Design    Authority    Authority section    Dubai Building Code    Part D: Vertical transportation     D.
7286,10.
7287,"2  Vertical transportation performance approval summary (Design method 2)    Vertical transportation design summary – Design method 2    Project name    Location    Client    Architect    Project type    Project classification    Is there a VT Consultant  involved?    Estimated  population    Occupiable floors    Boarding floors  including main lobby    Plot #    Form #    Date    yes    no    Group 1    Morning  peak    Lunch  peak    Evening  peak    Handling capacity  HC5%    Average waiting  time (s)    Average destination  time (s)    Group 1 Group 2 Group 3    Group 2    Morning  peak    Lunch  peak    Evening  peak    Handling capacity  HC5%    Average waiting  time (s)    Average destination  time (s)    Capacity    Speed    Door open time    Door closing time    Acceleration    Jerk    D 41    Group 3    Morning  peak    Lunch  peak    Evening  peak    Handling capacity  HC5%    Average waiting  time (s)    Average destination  time (s)    Number of  passenger elevators    Number of  passenger elevators/  fire/service elevators    Number of dedicated  firefighting elevators    Number of dedicated  service elevators    Number of other  elevators    Total elevators in the  project    Total number of  escalators in the  project    Total number of  moving walks in the  project    Declaration: The vertical transportation system in the project is designed within the recommended  parameters, and the parameters selected shall be met by suppliers approved in the UAE."
7288,    Remarks by VT Consultant/Lead Consultant    Comments:    Reviewed by    Authority section    Approved by    Dubai Building Code    Part D: Vertical transportation     D.
7289,10.
7290,3    Vertical transportation report template for VT Consultants    Table D.
7291,41 gives a summary of the minimum information required in the report.
7292,    Summary of vertical transportation (VT) design report    Section A    Main report    A1    A2    A3    A4    A5    A6    A7    A8    A9    Purpose of the report    Project overview    Assumptions    Design of vertical transportation (VT) system    Design elements for residences    Definitions of design parameters    Selection of passenger elevators    Selection of firefighting elevator    Selection of service and other elevators    A10    Conclusions and recommendations    Section B    Annexures    B1    B2    B3    B4    Codes and requirements of Authorities    Traffic analysis    Planning information    Requirements from Authorities    Table D.
7293,41 Summary of vertical transportation (VT) design report    D 42    Dubai Building Code    Part D: Vertical transportation     E.
7294,1    E.
7295,2    E.
7296,3    E.
7297,4    E.
7298,5    E.
7299,6    E.
7300,7    E.
7301,8    E.
7302,"9    Performance statements    Definitions    References    Structural    Energy conservation    Sustainable materials    Moisture    Acoustics    Protection from falling, collision and impact    E."
7303,10    Fire safety    E.
7304,11    Screening of building equipment    E.
7305,12 Maintenance    E 1    Dubai Building Code    Part E    Building    envelope     E.
7306,1    Performance statements    Performance statement    The performance statement will be met  by following the requirements of:    The building envelope shall safely resist  the loads imposed upon it.
7307,    The building envelope shall reduce the  energy required to cool the building.
7308,"    The building envelope shall control  moisture to protect the building, its  users, its mechanical systems and its  contents from physical or chemical  damage."
7309,    The building envelope shall provide  external noise protection to occupants.
7310,"    The building envelope shall provide  glazing that safely resists impact, whilst  incorporating measures to prevent  occupants colliding with the glazing."
7311,    The building envelope shall provide  a safe means of opening and closing  windows.
7312,    The building envelope shall adequately  guard against the spread of fire.
7313,    The building shall provide safe access  for cleaning and maintenance of the  building envelope.
7314,    E.
7315,4    E.
7316,5    E.
7317,7    E.
7318,8    E.
7319,9    E.
7320,9    E.
7321,10    E.
7322,12    E 2    Dubai Building Code    Part E: Building envelope     E.
7323,2    Definitions    E.
7324,2.
7325,1    Terms    Building elevation: View showing the image of one side  of the building.
7326, A flat representation of one façade.
7327,"    Building envelope: Physical barrier between the  exterior and the conditioned environment of a building  to resist air, water, moisture, heat, cold, light, and noise  transfer."
7328," For an air-conditioned building, the building  envelope comprises the elements of a building that  separate conditioned spaces from the exterior."
7329, Crown  extensions to the façade to cover plant screen cladding  are part of the building envelope.
7330, The building envelope  does not include the physical barrier below ground.
7331,"    Building maintenance unit: Permanently installed  unit that provides easy and safe access to the building  envelope for maintenance, inspections and cleaning."
7332,    Containment: Glass barrier resisting penetration and  preventing people from falling even after failure or  breakage.
7333,"    Damp-proof course: Layer of waterproof material or  construction in the wall of a building near the ground,  primarily to prevent rising damp."
7334,"    Glazed element: Individual element within a building  envelope that lets in light, including windows, plastic  panels, clerestories, skylights, doors that are more than  one half glass, and glass block walls."
7335,"    Low-rise building: Building height less than or up to  15 m, measured in accordance with the UAE FLSC  [Ref."
7336, E.
7337,1].
7338, A more detailed definition is given in  UAE FLSC.
7339,"    Glazing: Glass that is installed as one of the  components of a wall, floor, ceiling or roofing system."
7340,    Gross wall area: Area of the wall that provides the  thermal barrier of the building.
7341," It includes the solid  area and any openings in the wall, such as doors  or windows."
7342," It is the actual measured area, not the  projected area on a drawing."
7343,"    Groundwater pressure: Pressure of groundwater held  within a soil or rock, in gaps between particles."
7344,"    Guardrail: Vertical protective barrier erected along  elevated walking surfaces, exposed edges of stairways,  balconies and similar areas that minimizes the  possibility of fall from elevated surfaces to lower level."
7345,"    High-rise building: Building height greater than or  equal to 23 m and up to 90 m, measured in accordance  with the UAE FLSC [Ref."
7346, E.
7347,1].
7348, A more detailed  definition is given in UAE FLSC.
7349,    Manifestation: Clear markings on transparent glazing  to enable occupants to see the glazing as a hazard to  be avoided.
7350,"    Mid-rise building: Building height greater than 15 m  but less than 23 m, measured in accordance with the  UAE FLSC [Ref."
7351, E.
7352,1].
7353, A more detailed definition is  given in UAE FLSC.
7354,"    Moisture: Water or other liquid diffused in a small  quantity as vapour, within a solid, or condensed on a  surface."
7355,    Mould: Type of fungus that grows on damp or decaying  material surfaces.
7356,"    Operational forces: Forces sustained by the building  envelope during operation of the building, e."
7357,g.
7358, impact  from equipment or occupants.
7359,"    Rope access or abseiling: Form of work positioning  that allows rope access technicians to descend,  ascend and traverse ropes for access and work while  suspended by their harness."
7360,    Shading coefficient (SC): Ratio of solar heat gain at  normal incidence through glazing to that occurring  through an approximately 3 mm thick clear float glass.
7361,    Damp-proof membrane: Material applied to prevent  moisture transmission.
7362,    Interstitial condensation: Condensation which occurs  within or between layers of a construction.
7363,    Drained air space: Air layer within a wall that allows  any entering water or moisture to be drained out.
7364,    Light transmittance: Percentage of incident light  that passes through the glazed elements.
7365," When this  percentage increases, the amount of daylight that  passes into the building will increase."
7366,"    E 3    Dubai Building Code    Part E: Building envelope     Shading device: Projecting fixture that extends outside  the external wall of any building, or a cover (such as  a louver), to protect any door or window from rain or  solar effect."
7367,    Skylight or overhead glazing: Glass or other  transparent or translucent glazing material installed at  a slope of 15° or more from vertical.
7368,"    Solar reflectance index (SRI): Index that combines  reflectivity and emissivity, measuring a material’s  ability to reject solar heat."
7369, SRI is defined such that a  standard black (reflectance 0.
7370,05 and emittance 0.
7371,90) is  0 and a standard white (reflectance 0.
7372,80 and emittance  0.
7373,90) is 100.
7374, Materials with higher SRI absorb less heat  and can reduce heat island effect.
7375,    Solid metal panels: factory manufactured panel  consisting of solid metal skin or skins without a core.
7376,"  Solid metal panels could be aluminium, steel, copper,  zinc, stainless steel, titanium, etc."
7377,    Surface condensation: Condensation which occurs on a  visible surface within a building.
7378,"    Super high-rise building: Building height greater than  90 m, measured in accordance with the UAE FLSC  [Ref."
7379, E.
7380,1].
7381, A more detailed definition is given in  UAE FLSC.
7382,    Thermal bridge: Component or assembly of  components penetrating through an otherwise  continuous thermal line through which heat is  transferred at a substantially higher rate than through  the surrounding envelope areas.
7383," Examples could be a  metal fastener, concrete beam, balcony slab or column."
7384,    Thermal insulation: Materials/products or the  methods and processes used to reduce heat transfer.
7385,"  Heat energy can be transferred by conduction,  convection or radiation."
7386, The flow of heat can  be delayed by addressing one or more of these  mechanisms and is dependent on the physical  properties of the material employed to do this.
7387,"    Thermal transmittance: Rate of transfer of heat  through a material(s) or assembly, expressed as a  U-value."
7388,    Vapour resistance layer: Material layer within a wall or  roof build-up with a high resistance to moisture vapour.
7389,    Window-to-wall ratio (WWR): Percentage determined  by dividing the glazed area by the total external wall  area of the building envelope.
7390, WWR can be calculation  per orientation or per entire building.
7391,    E 4    Dubai Building Code    Part E: Building envelope     E.
7392,2.
7393,"2  ANSI    ASCE    ASHRAE    Acronyms and abbreviations  American National Standards Institute    American Society of Civil Engineers    American Society of Heating, Refrigeration, and  Air-Conditioning Engineers    ASTM    BMU    BRE    BS    BS EN    CFR    Ch."
7394,    CPSC    CWCT    DCD    ETA    FFL    FM    IBC    IRATA    ISO    NFPA    PV    SRI    TN    ASTM International    building maintenance unit    Building Research Establishment    British Standard    British Standard European Norm    Code of Federal Regulations    chapter    Consumer Product Safety Commission    Centre for Window and Cladding Technology    Dubai Civil Defence    European technical assessment    finished floor level    Factory Mutual    International Building Code    Industrial Rope Access Trade Association    International Organization for Standardization    National Fire Protection Association    photovoltaic    solar reflectance index    technical note    UAE FLSC    UAE Fire and Life Safety Code of Practice    UL    WWR    Underwriters Laboratories    window to wall ratio    E 5    Dubai Building Code    Part E: Building envelope     E.
7395,3    References    E.
7396,3.
7397,1    Essential references    ANSI Z97.
7398,"1, Safety glazing materials used in buildings    ASCE/SEI 7-16, Minimum design loads and associated  criteria for buildings and other structures    ASHRAE 90."
7399,"1:2019, Energy standard for buildings  except low rise residential buildings    ASTM D1929, Standard test method for determining  ignition temperature of plastics    ASTM E1300, Standard practice for determining load  resistance of glass in buildings    ASTM E108, Standard test methods for fire tests of  roof coverings    ASTM E119, Standard test methods for fire tests of  building construction and materials    BS 5250, Code of practice for control of condensation  in building    BS 6262-4, Glazing for buildings – Part 4: Code of  practice for safety related to human impact    BS 8102, Code of practice for protection of below  ground structures against water from the ground    BS 8414-1, Fire performance of external cladding  systems – Part 1: Test method for non-loadbearing  external cladding systems fixed to, and supported by, a  masonry substrate    E 6    BS 8414-2, Fire performance of external cladding  systems – Part 2: Test method for non-loadbearing  external cladding systems fixed to and supported by a  structural steel frame    BS EN 12600, Glass in building – Pendulum test –  Impact test method and classification for flat glass    BS EN 13501-1, Fire classification of construction  products and building elements – Part 1: Classification  using data from reaction to fire tests    BS EN 13501-5, Fire classification of construction  products and building elements – Part 5: Classification  using data from external fire exposure to roofs tests    NFPA 285, Standard fire test method for evaluation  of fire propagation characteristics of exterior wall  assemblies containing combustible components    UL 263, Standard for fire tests of building construction  and materials    UL 790, Standard for standard test methods for fire  tests of roof coverings    Ref."
7400, E.
7401,"1 UAE MINISTRY OF INTERIOR GENERAL  COMMAND OF CIVIL DEFENCE, 2018."
7402, UAE Fire and  Life Safety Code of Practice (UAE FLSC).
7403, United Arab  Emirates: Ministry of Interior General Command of  Civil Defence.
7404,"    BS EN 1364-3, Fire resistance tests for non-  loadbearing elements – Curtain walling – Part 3: Full  configuration (complete assembly)    Ref."
7405, E.
7406,"2 CENTRE FOR WINDOW AND CLADDING  TECHNOLOGY, 2005."
7407, Standard for systemised  building envelopes.
7408, Bath: CWCT.
7409,"    BS EN 1364-4, Fire resistance tests for non-  loadbearing elements – Curtain walling – Part 4: Part  configuration    Ref."
7410, E.
7411,"3 INSTITUTION OF STRUCTURAL ENGINEERS,  2014."
7412, Structural use of glass in buildings.
7413, 2nd ed.
7414,  London: IStructE Ltd.
7415,"    FM 4881, Evaluating exterior wall systems    ISO 13785-2, Reaction-to-fire tests for façades –  Part 2: Large-scale test    NFPA 256, Standard methods of fire tests of roof  coverings    NFPA 276 Standard method of fire test for  determining the heat release rate of roofing assemblies  with combustible above-deck roofing components    Ref."
7416, E.
7417,"4 EUROPEAN ORGANISATION FOR  TECHNICAL APPROVALS, 2011."
7418, Guideline for  European technical approval for structural sealant  glazing systems (SSGS).
7419, ETAG 002.
7420, Brussels: EOTA.
7421,    Ref.
7422, E.
7423,"5 INTERNATIONAL CODE COUNCIL, 2015."
7424,  International Building Code.
7425," Section 1404,  Section 1405 and Ch."
7426, 20 to 24.
7427, Washington: ICC.
7428,    Dubai Building Code    Part E: Building envelope     E.
7429,3.
7430,"2    Further reading    INSTITUTION OF STRUCTURAL ENGINEERS, 2020."
7431,  Structural aspects of cladding.
7432, London: IStructE Ltd.
7433,"    GREAT BRITAIN, 2013."
7434," The Building Regulations 2010,  Approved Document C: Site preparation and resistance  to contaminants and moisture."
7435, 2004 ed.
7436, with 2010  and 2013 amendments.
7437, London: The National Building  Specification (NBS).
7438,"    GREAT BRITAIN, 2013."
7439," The Building Regulations 2010,  Approved Document K: Protection from falling collision  and impact."
7440, 2013 ed.
7441, London: The National Building  Specification (NBS).
7442,    Ref.
7443, E.
7444,"6 CENTRE FOR WINDOW AND CLADDING  TECHNOLOGY, 2012."
7445, Impact performance of building  envelopes: Guidance on specification.
7446, Technical note 75  (TN 75).
7447, Bath: CWCT.
7448,    Ref.
7449, E.
7450,"13 CENTRE FOR WINDOW AND CLADDING  TECHNOLOGY, 2016."
7451, Assessing cradle and suspended  access equipment.
7452, Technical note 96 (TN 96).
7453,  Bath: CWCT.
7454,    Ref.
7455, E.
7456,"14 INDUSTRIAL ROPE ACCESS TRADE  ASSOCIATION (IRATA), 2014."
7457, International Code of  Practice.
7458, Kent: IRATA International.
7459,    Ref.
7460, E.
7461,"7 CENTRE FOR WINDOW AND CLADDING  TECHNOLOGY, 2012."
7462, Impact performance of building  envelopes: Method for impact testing cladding panels.
7463,  Technical note 76 (TN 76).
7464," Bath, UK: CWCT."
7465,    Ref.
7466, E.
7467,"8 BUILDING RESEARCH ESTABLISHMENT,  2006."
7468, Assessing the effects of thermal bridging at  junctions and around openings.
7469, IP 1/06.
7470,  Bracknell: BRE.
7471,    Ref.
7472, E.
7473,"9 CONSUMER PRODUCT SAFETY  COMMISSION, 2016."
7474, Safety standard for architectural  glazing materials.
7475, 16 CFR 1201.
7476, Bethesda: CPSC.
7477,    Ref.
7478, E.
7479,"10 CENTRE FOR WINDOW AND CLADDING  TECHNOLOGY, 2019."
7480, Safety and fragility of glazed  roofing: Guidance on specification.
7481, Technical note 66  (TN 66).
7482, Bath: CWCT.
7483,    Ref.
7484, E.
7485,"11 CENTRE FOR WINDOW AND CLADDING  TECHNOLOGY, 2010."
7486, Safety and fragility of glazed  roofing: Testing and assessment.
7487, Technical note 67  (TN 67).
7488, Bath: CWCT.
7489,    Ref.
7490, E.
7491,"12 BUILDING RESEARCH ESTABLISHMENT,  2013."
7492, Fire performance of external thermal insulation  for walls of multi-storey buildings.
7493, BR 135.
7494,  Watford: BRE.
7495,    E 7    Dubai Building Code    Part E: Building envelope     E.
7496,4    Structural    E.
7497,4.
7498,1    Strength and stability    General    E.
7499,4.
7500,1.
7501,1  Any part of the building envelope presents a hazard if it becomes detached from  the building.
7502, The building envelope and associated openings shall be designed and  constructed to safely resist the loads required by Part F and those mentioned in this  section.
7503,"    The building envelope shall:    a) be capable of safely sustaining, and transmitting to the supporting structure    of the building, all static and dynamic design loads (i."
7504,e.
7505," dead, imposed,  thermal, seismic, wind, etc."
7506,) without fracture or permanent deterioration of its  performance;    NOTE: Pressure coefficients often vary across the building envelope.
7507, Higher pressure  is expected at corners.
7508,    Permanent fixture loading    E.
7509,4.
7510,1.
7511,"3  Building envelopes which are intended to support permanent fixtures and/or building  maintenance equipment attached to either internal or external faces shall be capable  of withstanding, without excessive deflection or permanent deterioration of its  performance, the forces arising from these fixtures, including during use."
7512,    Operational forces    E.
7513,4.
7514,1.
7515,4  The building envelope shall be capable of sustaining and transferring the following  loads without any reduction in its performance:    a) a horizontal load applied on the surface of panels or on framing members in    b) be securely fixed to and supported by the structure of the building.
7516, This shall    accordance with Section 4.
7517,5.
7518,"1 of ASCE/SEI 07-16;    comprise both vertical support and horizontal restraints;    c) be made, where necessary, to accommodate differential movement of the cladding  and the supporting structure of the building (such as differential settlement,  inter-storey drifts, etc."
7519,);    b) a uniformly distributed load of 0.
7520,"6 kN/m2 or a 1 kN vertical load, whichever is the  most onerous, applied anywhere on internal ledges, horizontal framing members  or horizontal surfaces; and    c) loads resulting from the operation of cleaning cradles, anchor restraint points,    d) be of durable materials/products."
7521, The service life of the fixings shall be not less    equipment or operators.
7522,    than the building envelope design life.
7523, Fixings shall be corrosion-resistant and of a  material type appropriate for the local environment and exposure conditions;    e) not fully or partially detach from the building (although it may break under the life    safety structural performance level as described in F.
7524,7.
7525,13); and    f) not be a source of noise or be at risk of resonant excitation caused by wind.
7526,    Parts of the building envelope protecting occupants from a change in level greater  than 760 mm shall either be designed to withstand the forces given in Section 4.
7527,5.
7528,1  of ASCE/SEI 7-16 or be provided with a guardrail in accordance with B.
7529,4.
7530,2.
7531,5.
7532,2.
7533,"    Balustrades and guardrails at balconies, terraces, roofs and changes in level greater  than 760 mm shall conform to B."
7534,4.
7535,2.
7536,5.
7537,2.
7538,    Wind loadings    E.
7539,4.
7540,1.
7541,2  Wind load shall be calculated in accordance with Part F or by wind tunnel testing  carried out in accordance with Part F.
7542,    Test loads simulating wind loading shall be applied perpendicularly to the building  envelope at its weakest point.
7543,    Thermal movements    E.
7544,4.
7545,1.
7546,"5  The building envelope shall be capable of accommodating changes in dimension and  shape of its components resulting from changes in service temperatures, and from  differential service temperatures between the inside and outside of the building,  without any reduction in its performance."
7547,    E 8    Dubai Building Code    Part E: Building envelope     Deflection    E.
7548,4.
7549,1.
7550,"6  Under the action of the most onerous combination of loads, the deflections of  building envelope components shall be limited such that no defect occurs, and  deflections are fully recovered after removal of loads."
7551,"    The allowable limit deflection shall be determined by material properties, the distance  between points of attachment and the methods of attachment."
7552,    NOTE: The deflections given in Table E.
7553,1 are generally acceptable in line with Part 3  of the CWCT Standard for systemised building envelopes [Ref.
7554, E.
7555,2].
7556,"    Component    Measurement    Maximum deflection    Storey-height assemblies,  other than masonry    Between points of  attachment to structure    1/200 for span ≤ 3,000 mm    5 mm + 1/300 for    3,000 mm < span < 7,500 mm    1/250 for span ≥ 7,500 mm    Opaque infill panels  in secondary framing,  excluding glass    Between points of support    1/360 for brittle material such as stone    1/90 for non-brittle materials such as  aluminium or steel    Manufacturer recommendation shall also  be sought."
