,Sentences,length,word_count,length_change,wordcount_change
195,open space portion plot build level set asid public privat use occupi room equipment. space may use passiv activ recreat may reserv protect buffer natur area,157,26,19,0
196,ornament element element ad build purpos beautif express certain messag symbol,78,11,22,0
197,pantri place food prepar process storag,39,6,6,0
198,"park building, structure, portion thereof use parking, storage, both, motor vehicl",82,11,6,0
199,park bay area occupi singl vehicl depend posit vehicl park,58,10,16,0
200,parapet wall part wall entir roof line,38,7,3,0
201,"pave use blacktop, asphalt, concret similar substanc creat smooth surface, includ bitumin penetration, use dirt, clay, slag stone",129,18,10,0
203,pergola shade devic use solid materi normal use ornament shade (see figur b.5),78,13,18,0
204,"01 figur b.5 pergola key 01 pergola dubai build code part b architectur plan regul control plan author use land buildings, height mass buildings, densiti population, relat plot’ build coverag open space, size locat yard setbacks, provis ancillari facil park",257,40,50,0
209,"podium (tower base) lower group floor tower might might includ ground floor, differ plan requir typic floor tower",113,18,18,0
210,"post-consum recycl content wast materi gener household public privat facil role end-us product, longer use origin intend purpos",127,18,27,0
211,"recoveri process wast serv use purpos replac materi would otherwis use fulfil function. exampl includ use wast gener energy, convert organ wast compost",151,23,32,0
212,"prayer room dedic room space build use perform islam prayer might might use group prayers. pre-consum recycl content materi divert wast stream manufactur process. reutil materi (i.e. rework, regrind scrap gener process capabl reclaim within process gener it) exclud",265,39,48,0
214,"public use avail interior exterior rooms, space element use public. public use provid build facil privat publicli own",117,18,22,0
217,"recycl process use materi new product order prolong life use material, reduc consumpt fresh raw materials, reduc energi usage, reduc air water pollut reduc need “conventional” wast dispos",187,28,29,0
219,"refus chute passage, commonli use high-ris buildings, wast carri mean graviti wast contain lower end. regul rule statut set permit government author",148,22,30,0
220,residenti occup provid sleep accommod independ cook bathroom facil peopl live perman basi,89,13,32,0
221,"b 10 dubai build code part b architectur residenti unit singl unit provid complete, independ live facil one persons, includ perman provis living, sleeping, eating, cook sanitation. apart type residenti unit",206,31,39,0
222,"retail occup use stocking, display sale goods, ware merchandis",62,9,7,0
223,"reus activ lengthen life item, typic consist return item activ use relat capac",78,13,21,0
224,"right way (row) strip land occupi intend occupi road, sidewalk, crosswalk, railroad, electr transmiss line, oil ga pipeline, water line, sanitari storm sewer, similar use right one pass properti anoth",200,30,15,0
225,"riser near-vert element set stairs, form space one step next (see figur b.4)",76,13,8,0
227,"roof floor part of, locat top level build usual use machineri servic equip and/or provid build amen open space",110,19,26,0
228,roof deck flat slope surfac includ support member vertic support,64,10,12,0
229,"b 11 self-clos (of door open protect device) equip devic enabl closur position, latch fitted, open",98,16,18,0
230,servic corridor fulli enclos passag use transport good servic,61,9,11,0
231,servic entranc entranc intend primarili deliveri good servic,60,8,8,0
234,"showroom space alloc conduct trade business, display commod purpos wholesal retail sale",87,12,19,0
236,"signag display verbal, symbol pictori inform",44,6,12,0
238,site plot land bound plot line design portion public right-of-way. site singl plot multipl plot togeth,102,16,11,0
241,"space identifi area includ room, toilet, hall, assembl area, entrance, storag room, alcove, courtyard lobbi",107,15,9,0
242,"staff accommod build part thereof sleep unit provid and/or rented, privat toilet share cook facilities, joint occup staff member affili university, hospital, school similar institutions. stage rais area within build use present music, play entertain head tabl special guest rais area lectur speaker box wrestl ring theatr stage similar purpos",342,50,64,0
243,"dubai build code part b architectur wast segreg separ sort wast materi respect fractions, separ recycl",102,16,35,0
245,"wayfind system provid appropri inform assist person pass built environ toward specif destination. wayfind includ orient oneself, know one’ destination, follow best route, recogn one’ destin find one’ way back out. wind tower shelter 50% area open sky usual construct enhanc architectur beauti build suit certain climat need",323,48,63,0
247,tandem park two park bay one space place behind,47,9,9,0
251,"student accommod build part thereof sleep unit provid occup university, school educ institute’ student regul institut",117,16,34,0
252,studio independ residenti unit combin live room bedroom space provis food prepar sanit,86,13,22,0
253,"super high-ris build build height greater 90 m, measur accord uae flsc ref. b.1. detail definit given uae flsc. swim pool construct pool swimming, bath wade whether ground surfac regardless depth water surfac area",213,34,31,0
254,"terrac cover uncov platform roof, protect guardrail parapet wall support structur floor",87,12,12,0
255,"toilet stall cubicl within public toilet construct demount partit wall surround water closet. tread step space stair flight set foot (see figur b.4). vehicl access roadway, usual paved, intend provid ingress egress vehicular traffic public right-of-way build entranc park area",276,40,33,0
256,"vehicl barrier compon system components, near open side park floor ramp build wall act restraint vehicl",103,16,15,0
257,"warehous occup use primarili storag shelter goods, merchandise, products, vehicles. wast unwant unus materi discard primari use",127,17,22,0
258,"wast room room dedic purpos holding, prior disposal, wast gener building. room locat within plot limit within build enclosure, subject approv authorities. b 12 dubai build code part b architectur rta sri tia ti road transport author solar reflect index traffic impact assess traffic impact studi uae flsc unit arab emir fire life safeti code practic b.2.2 ch",358,58,43,0
259,"dcr dbc dcaa dha dhca dcd dewa dm acronym abbrevi chapter develop control regul dubai build code dubai civil aviat author dubai health author dubai healthcar citi author dubai civil defenc dubai electr water author dubai municip dm ph&sd dubai municipality, health safeti depart dtcm depart tourism commerc market environ impact assess environ impact assess report environ impact assess summari electromagnet compat finish floor level facil guidelin institut ground floor gross area intern build code liquefi petroleum ga mechanical, electr plumb net area reinforc concret ring main unit eia eiar eia emc ffl fgi g ga ibc lpg mep na rcc rmu b 13 dubai build code part b architectur b.3 refer b.3.1 essenti refer asce/sei 7-16, minimum design load associ criteria build structur astm f1346-91, standard perform specif safeti cover label requir cover swim pools, spa hot tub bs 1703, refus chute hopper – specif bs en 840-1, mobil wast recycl contain – contain 2 wheel capac 400 l comb list devic – dimens design bs en 840-2, mobil wast recycl contain – contain 4 wheel capac 1,300 l flat lid(s), trunnion and/or comb lift devic – dimens design bs en 840-3, mobil wast recycl contain – contain 4 wheel capac 1,300 l dome lid(s), trunnion and/or comb lift devic – dimens design bs en 840-4, mobil wast recycl contain – contain 4 wheel capac 1,700 l flat lid(s), wide trunnion bg- and/or wide comb lift devic – dimens design bs en 12574-1, stationari wast contain – contain capac 10,000 l flat dome lid(s), trunnion, doubl trunnion pocket lift devic – dimens design b 14 bs en 140102003+a12009, safeti machineri – equip power driven park motor vehicl – safeti emc requir design, manufacturing, erect commiss stage din 30722-1, roller contact tipper vehicles, roller contain – part 1roller contact tipper vehicl 26 t, roller contain type 1570 made steel din 30722-2, roller contact tipper vehicles, roller contain – part 2 roller contact tipper vehicl 32 t, roller contain type 1570 made steel",1988,332,347,0
